8/3k4/4R3/2P1p1p1/4r3/7P/5PK1/8 w - - 3 41	153
r2q3r/1p2bkp1/2p1b2p/p2nB3/1n2N3/P1N2P2/1P5P/2KRQB1R b - - 1 20	-362
Q7/6pk/1q2p2p/3B1b2/3P3P/6P1/R4P1K/1r6 w - - 3 49	47
r7/3k4/5Q2/1P5p/2qn4/6P1/1B1R2KP/r7 b - - 13 46	-47
8/3n1Bk1/6P1/5PK1/8/8/5P2/8 w - - 1 66	81
r1bqk2r/p1p1np1p/1pn3p1/1B1p4/3P4/P1P5/P1Q2PPP/1RB1K1NR b Kkq - 1 10	225
2rq1rk1/5pb1/pn1P2b1/6pp/4P3/1NpQ1PB1/P3B1PP/2R2RK1 b - - 1 25	-447
5rk1/6p1/4P2p/3pP1B1/Q1b3P1/4R2P/1q2n1B1/7K w - - 1 30	-316
8/6k1/6pp/3K4/2P2P2/6P1/3n3P/8 b - - 0 57	-8
6k1/p4p2/1p5R/8/4p3/1P2P1PK/r7/8 w - - 1 45	-482
2kr4/pp3p2/4bp2/2n1p3/2P5/PP3P2/1B4PP/3B1RK1 b - - 3 26	-449
8/1pp1bkp1/7p/p2r4/P3Nn2/1P3P2/6P1/2R2KB1 b - - 4 35	494
3R4/6pk/8/R7/P6p/1P4rP/4r1N1/6K1 w - - 4 42	18
6k1/5rp1/p2q2p1/1p3pP1/1PpP3P/P3P1n1/2P4Q/R4RK1 b - - 1 35	-487
r3r3/1R3pkp/6p1/1pp5/p1nb2B1/P5P1/KP3P1P/2BR4 b - - 5 32	593
1r2r1k1/p1p1np2/4q1pQ/4p1P1/2p4N/P2P3P/1BP3P1/5RK1 w - - 2 31	-524
rr4k1/p1pp1pbp/1q2pBp1/1N2P3/8/1Q4PP/1PP1PPK1/R2R4 b - - 0 17	-371
8/8/7K/3p1Qp1/4q1P1/2k4P/8/8 b - - 5 55	15
4B1k1/p2P2p1/4b3/2Q5/2P3rp/5p2/P3qP1K/7R w - - 1 39	69
1r2r1k1/1p1n2p1/2pB1pbp/p5q1/3Pp3/P3P1PP/1P3QPN/3R1RK1 b - - 1 25	129
8/1R3pk1/6p1/4K3/1P5r/8/8/8 w - - 1 52	-133
3r1r1k/1Bb4p/p6p/P4P2/8/2pP3P/2P5/4RRK1 b - - 1 27	-444
8/7k/5P2/5KP1/B4n2/8/3p4/2b5 b - - 1 65	77
r3k2r/1p4pp/p1pb1n2/3p4/BP1q2b1/2NNp1P1/PBP2Q1P/R3K2R w KQkq - 0 19	-559
1r6/1P1nk3/1R6/p3p3/7p/P1rB1P2/5K2/3R4 w - - 4 45	91
8/4Bn2/6p1/pk1Ppp1p/1p6/1P3P1P/2PK2P1/8 b - - 1 34	-312
r3q3/1p4k1/p2p1p2/2pP1R2/2P3b1/6N1/PP4P1/4Q1K1 w - - 2 28	28
8/3k4/8/2R1P2p/2p4P/1p2P3/2r3P1/1K6 b - - 0 39	70
1r4k1/3r1pp1/p3b2p/B2pP3/3P3P/3B2P1/Q6K/8 b - - 1 40	-254
3q2k1/p2b1pp1/1p4p1/3p4/3Pp3/1PQ1PnP1/P3NPKP/5B2 b - - 11 33	113
3Q4/6pk/7p/7P/6P1/4P3/pq6/3K4 w - - 2 59	-171
6k1/1p2r3/p1nQN1p1/7p/7P/2q3P1/P4P2/3R2K1 b - - 1 29	-310
r1bq3k/p4prp/1ppNpn2/2P2p2/3P4/1R6/P3BPPP/3Q1R1K w - - 2 21	248
4Q3/1k3p2/1p6/8/2q1p3/4P3/6PK/8 w - - 14 69	-462
8/7R/4k3/8/p4pP1/p7/K6P/2b5 b - - 1 66	-486
