fen	coda_cp	opp_cp	outcome
8/8/3p2pk/p2P1p2/3p3P/1BbP2P1/4K3/8 b - - 42 91	153	19	0.5
8/8/3p2pk/p2P1p2/B2p3P/b2P2P1/3K4/8 b - - 46 93	151	18	0.5
8/8/3p2pk/p2P1p2/3p3P/1BbP2P1/4K3/8 b - - 50 95	153	20	0.5
8/6k1/3p2p1/p2P1p2/B2p3P/3P2P1/3K4/b7 b - - 54 97	150	15	0.5
8/6k1/3p2p1/p2P1p2/3p3P/2bP2P1/4K3/3B4 b - - 58 99	150	23	0.5
8/6k1/3p2p1/p2P1p2/3p3P/2bP2P1/4K3/3B4 b - - 62 101	149	27	0.5
8/7k/3p2p1/p2P1p2/B2p3P/3P2P1/1b1K4/8 b - - 66 103	146	25	0.5
8/7k/2Bp2p1/p2P1p2/1b1p3P/3P2P1/4K3/8 b - - 70 105	145	17	0.5
4B3/6k1/3p2p1/p2P1p2/1b1p3P/3P2P1/4K3/8 b - - 74 107	148	11	0.5
4B3/6k1/3p2p1/p2P1p2/1b1p3P/3P2P1/4K3/8 b - - 78 109	140	10	0.5
8/3B4/3p1kp1/p2P1p2/3p3P/b2P2P1/8/3K4 b - - 82 111	135	2	0.5
8/3B4/3p4/p2P1pk1/3p4/b2P2P1/4K3/8 b - - 1 113	123	22	0.5
8/8/3p4/p2P1p2/B2p2k1/3P2P1/5K2/2b5 b - - 5 115	108	0	0.5
8/8/3p4/p2P1p1k/B2p4/3P1KP1/1b6/8 b - - 9 117	103	0	0.5
8/8/3p4/p2P1pk1/B2p4/3P1KP1/8/2b5 b - - 13 119	93	0	0.5
r2qr1k1/1p1bbp2/2n3p1/2R1p1Bp/p2pP2P/P2P1N2/1P1Q1PP1/2RB2K1 w - - 2 17	208	97	0.5
r3r1k1/1p1b1p2/2n3p1/2R1p1qp/p2pP2P/P2P1N2/1P3PP1/2RB2K1 w - - 0 19	212	91	0.5
r1r5/1p1b1pk1/2n3p1/2R1p1Pp/p2pP3/P2P1N2/1P3PPK/2RB4 w - - 3 21	289	128	0.5
2r5/1p1b2k1/2n2pp1/2R1p1Pp/r2pP3/P2P1N2/1P3PPK/3B4 w - - 0 23	282	135	0.5
1nr5/1p4k1/5pp1/R3p1Pp/b2pP3/P2P1N2/1P3PPK/8 w - - 0 25	224	134	0.5
2r5/1p4k1/5pp1/R1n1p1Pp/3pP3/P2P1N2/1P3PPK/8 w - - 3 27	243	67	0.5
8/1pr5/5kp1/1Rn1p2p/3pP3/P2P1N2/1P3PPK/8 w - - 0 29	160	65	0.5
8/2r5/1p4p1/1Rn1k2p/1P1pP3/P2P4/5PPK/8 w - - 0 31	182	53	0.5
8/2r5/5kp1/1Rp4p/3pP3/P2P2K1/5PP1/8 w - - 0 33	168	48	0.5
8/2r3k1/1R6/2p3pp/3pP3/P2P1PK1/6P1/8 w - - 0 35	129	25	0.5
8/2r5/5k2/1R4pp/P1ppP3/3P1PK1/6P1/8 w - - 0 37	133	9	0.5
8/8/5k2/PR4pp/r2pP3/5PK1/6P1/8 w - - 1 39	112	16	0.5
8/8/6k1/P2R2pp/3pP3/r4P1K/6P1/8 w - - 5 41	90	0	0.5
8/5k2/P2R4/6pp/4P3/r2p1P1K/6P1/8 w - - 0 43	140	0	0.5
8/4k3/r7/3R2pp/4P3/3p1PPK/8/8 w - - 0 45	97	9	0.5
8/p3r3/5n2/2P2kp1/1P2p3/2K5/8/3B2R1 w - - 2 49	-187	-53	0.5
8/p3r3/2P5/5kp1/1PK1p3/4n3/8/3B2R1 w - - 3 51	-191	-51	0.5
8/p7/2P5/1PK1r1p1/4pk2/4n3/8/3B2R1 w - - 1 53	-215	-50	0.5
8/p7/2P5/1P2r1p1/2K1pk2/4n3/8/3B2R1 w - - 5 55	-168	-31	0.5
8/p1n5/2P5/1P2r1p1/2K1pk2/8/8/3B2R1 w - - 9 57	-148	-20	0.5
6k1/2p5/1pBp4/r1nPrp1p/p4RpP/P3PP2/1P3KP1/3R4 w - - 2 25	157	72	0.5
7k/2p5/1pBp4/r1nPrp1p/p4RpP/P3PP2/1P2K1P1/5R2 w - - 6 27	213	75	0.5
7k/2p5/1pBp4/r1nPrp1p/p4RpP/P3PP2/1P2K1P1/5R2 w - - 10 29	233	82	0.5
7k/2p5/1pBp4/r2r1p1p/p3nRPP/P2KP3/1P4P1/5R2 w - - 0 31	273	127	0.5
7k/8/1ppp4/3r1p1p/p1K1nRPP/P3P3/1P4P1/5R2 w - - 0 33	283	137	0.5
r1b3k1/pp3rpp/4P3/3Q1p2/2P5/1q6/1P3RPP/R4K2 b - - 0 24	164	71	0.5
r5k1/pp3rpp/4Q3/5p2/2P5/3q4/1P3RPP/R5K1 b - - 2 26	182	53	0.5
3r2k1/pp3r1p/4Q1p1/5p2/2P2RP1/3q4/1P5P/R5K1 b - - 0 28	146	49	0.5
3r2k1/pp3r1p/4Q1p1/5P2/2P2R2/8/1q5P/5RK1 b - - 0 30	167	53	0.5
k2r3r/1pQ2Rb1/p5p1/P2q3p/6P1/5N1P/1P3P2/R5K1 w - - 0 26	222	82	0.5
k1r4r/1p1q1Rb1/p5p1/P6p/6P1/R4N1P/1P3P2/6K1 w - - 0 28	166	76	0.5
k1r4r/1p1R4/p5p1/P7/6p1/1R3N1P/1b3P2/6K1 w - - 0 30	174	68	0.5
k6r/1R1R4/p5p1/P7/2r3P1/2b2N2/5P2/6K1 w - - 1 32	176	59	0.5
2k4r/RR6/p5p1/P7/2r3P1/2b2N2/5P2/6K1 w - - 5 34	174	51	0.5
2k4r/RR6/p5p1/P7/2r3P1/2b2N2/5P2/6K1 w - - 9 36	187	54	0.5
1k5r/4R3/R5p1/P7/6r1/2b2N2/5P2/6K1 w - - 0 38	168	67	0.5
1k6/4R3/R5p1/P7/6r1/2b2N2/4KP2/1r6 w - - 4 40	179	56	0.5
R7/1k6/R5p1/P7/6r1/2b2N2/1r2KP2/8 w - - 8 42	160	41	0.5
8/p2k1p2/bpn1p1pB/3pPP2/P2P2PP/5BK1/1r6/3R4 w - - 0 27	204	76	0.5
8/p2k1p2/bpn1p2B/3pPP1P/P2P4/1r3BK1/8/3R4 w - - 1 29	195	83	0.5
8/p2k4/bpn1p2B/3pP2P/P2P1K2/3r1B2/8/3R4 w - - 0 31	153	0	0.5
8/p2k2B1/bp2p3/3pP2P/P2n1KB1/8/8/3r4 w - - 0 33	101	15	0.5
8/p4kB1/bp2p2P/3pP3/P2n1K2/8/8/3B4 w - - 1 35	316	6	0.5
8/1kp3p1/1p2N3/n6P/8/P3R2P/6r1/K7 b - - 0 35	122	41	0.5
8/1k4p1/1p2N3/n1p4P/P7/4R2P/K7/6r1 b - - 2 37	122	33	0.5
8/6p1/kpn5/2N4P/P7/2R4P/K7/6r1 b - - 0 39	123	10	0.5
8/6p1/k1n5/2R4P/P7/1K5P/6r1/8 b - - 2 41	82	0	0.5
8/1p2qpk1/pP1p2p1/P2Qp2p/2P1P2P/6P1/2K2P2/8 w - - 5 41	124	28	0.5
8/1p3pk1/pP1p4/P2Qp1qp/2P1P3/2K3P1/5P2/8 w - - 0 43	141	27	0.5
8/1p3pk1/pP1p1q2/P2Qp2p/2P1P3/3K2P1/5P2/8 w - - 4 45	127	24	0.5
6k1/1p2qp2/pP1p4/P2Qp2p/2P1P3/6P1/5P2/3K4 w - - 8 47	112	25	0.5
8/1p2qpk1/pP1p4/P2Qp2p/2P1P3/6P1/3K1P2/8 w - - 12 49	110	23	0.5
8/1p2qpk1/pP1p4/P2Qp2p/2P1P3/6P1/4KP2/8 w - - 16 51	105	21	0.5
7r/1p6/p2k2p1/3Ppp1b/1N5P/rP3P2/4PK2/4R2R w - - 2 24	-218	-112	0.5
8/1p6/p2k2p1/3Ppp1b/1N5P/rPr2P2/1R2PK2/7R w - - 6 26	-215	-123	0.5
2r5/1p6/p2k2p1/r2Ppp1b/7P/1P3P2/NR2PK2/1R6 w - - 10 28	-237	-106	0.5
2r5/1p6/p2k2p1/1r1Ppp1b/7P/1P3P2/NR1RPK2/8 w - - 14 30	-227	-96	0.5
8/1pr5/p2k2p1/1r1Ppp1b/7P/1P2KP2/N2RP3/1R6 w - - 18 32	-175	-91	0.5
2r5/1p6/p2k2p1/2rPpp1b/7P/1P1RKP2/NR2P3/8 w - - 26 36	-208	-94	0.5
8/1p6/p2k2p1/3Ppp1b/7P/1P1RKP2/N1r1P3/8 w - - 0 38	-186	-88	0.5
8/8/p2k2p1/1p1Ppp1b/7P/1PNR1P2/2r1PK2/8 w - - 0 40	-179	-79	0.5
8/8/p2k2p1/1p1Ppp1b/1P5P/2N2P2/2r1PK2/3R4 w - - 3 42	-169	-87	0.5
8/8/p2k2p1/1p1Ppp1b/1P5P/1rN2P2/4PK2/3R4 w - - 7 44	-179	-71	0.5
8/3k4/p5p1/1p1Ppp1b/1r5P/2N2P2/2R1PK2/8 w - - 0 46	-167	-71	0.5
8/8/p2k2p1/1p1Ppp1b/2r4P/5P2/R3PK2/1N6 w - - 4 48	-153	-61	0.5
8/8/R5p1/1p1kpp1b/1r5P/N4P2/4PK2/8 w - - 2 50	-197	-73	0.5
1R6/8/6p1/1pk1pp1b/7P/Nr3P2/4PK2/8 w - - 6 52	-193	-89	0.5
2R5/8/6p1/1k3p1b/1p2p2P/4NP2/1r2P3/4K3 w - - 0 56	-246	-103	0.5
2R5/8/6p1/1k3p1b/1pN4P/5p2/4PK2/1r6 w - - 0 58	-233	-82	0.5
2R5/8/6p1/1k3p1b/1p5r/5P2/3N1K2/8 w - - 0 60	-208	-68	0.5
2R5/1k6/6p1/5p1b/1pN4r/4KP2/8/8 w - - 4 62	-192	-77	0.5
5k2/5p1p/p4Pp1/4p1P1/p2nP1BP/8/P1r5/3R2K1 w - - 0 29	211	90	0.5
5k2/5p1p/p4Pp1/4p1P1/p2nP1BP/8/P1r5/3R2K1 w - - 4 31	178	93	0.5
6k1/3B1p1p/p4Pp1/1n2p1P1/p3P2P/8/P1r5/1R4K1 w - - 8 33	199	67	0.5
6k1/5p2/5Ppp/1R2p1P1/p3P2P/8/P1r5/6K1 w - - 0 35	191	59	0.5
6k1/5p2/5Pp1/1R2p1P1/p3P3/P7/r7/6K1 w - - 1 37	309	48	0.5
6k1/5p2/5Pp1/4R1P1/p3P3/1r6/5K2/8 w - - 2 39	311	35	0.5
6k1/5p2/5Pp1/R3P1P1/8/p7/1r3K2/8 w - - 1 41	229	6	0.5
6k1/5p2/5Pp1/R3P1P1/3K4/8/p2r4/8 w - - 2 43	189	1	0.5
6k1/5p2/R4Pp1/2K1P1P1/8/8/p2r4/8 w - - 6 45	130	0	0.5
R7/5p1k/2K2Pp1/4P1P1/8/8/pr6/8 w - - 10 47	104	0	0.5
5k2/R7/3K1Pp1/6P1/8/8/8/3r4 w - - 13 71	94	1	0.5
5k2/R7/1K3Pp1/6P1/8/8/8/1r6 w - - 17 73	91	0	0.5
3K1k2/R7/5Pp1/6P1/8/8/8/3r4 w - - 21 75	91	0	0.5
3K1k2/8/5Pp1/3R2P1/6r1/8/8/8 w - - 25 77	91	0	0.5
8/5k2/3K1Pp1/3R2P1/4r3/8/8/8 w - - 29 79	87	0	0.5
8/8/3p1bpk/3P4/1p2Pr2/1Pq2N2/1nB1QR1P/7K w - - 6 38	186	66	0.5
8/6k1/3p1b2/3P2p1/1p2Pr2/1Pq2N1P/1nB1QRK1/8 w - - 0 40	269	68	0.5
8/6k1/3p4/3Pb1p1/1p2P3/1Pq4P/1nB2QK1/4N3 w - - 1 42	174	60	0.5
8/6k1/3p4/3Pb1p1/1p2P3/1P1q1N1P/5QK1/8 w - - 0 44	142	54	0.5
8/6k1/8/3Pp1p1/1p1qP3/1P3Q1P/6K1/8 w - - 2 46	160	48	0.5
8/6k1/8/3Pp1p1/1p2P2P/1Pq2Q1K/8/8 w - - 3 48	137	28	0.5
8/6k1/8/3Pp1p1/1p2P2P/1P4Q1/2q4K/8 w - - 7 50	128	17	0.5
2R4k/8/1P5p/8/5n1P/8/r7/7K b - - 1 50	-135	-12	0.5
1RR5/7k/7p/8/5n1P/8/1r6/7K b - - 0 52	-158	-4	0.5
1R6/7k/8/7p/5n1P/8/7K/8 b - - 1 54	-126	-2	0.5
8/8/6nk/7p/1R5P/6K1/8/8 b - - 5 56	-121	0	0.5
8/8/6nk/1R5p/7P/6K1/8/8 b - - 9 58	-120	-2	0.5
8/8/6nk/6Rp/7P/6K1/8/8 b - - 13 60	-119	0	0.5
8/8/6nk/6Rp/7P/6K1/8/8 b - - 17 62	-110	0	0.5
8/8/6nk/5R1p/7P/6K1/8/8 b - - 21 64	-102	0	0.5
8/8/6nk/5R1p/7P/6K1/8/8 b - - 25 66	-85	0	0.5
8/8/6nk/1R5p/7P/6K1/8/8 b - - 29 68	-85	0	0.5
8/8/6nk/R6p/7P/6K1/8/8 b - - 33 70	-93	0	0.5
8/8/6nk/R6p/7P/6K1/8/8 b - - 37 72	-92	0	0.5
8/8/6nk/2R4p/7P/6K1/8/8 b - - 41 74	-94	0	0.5
8/8/6nk/3R3p/7P/6K1/8/8 b - - 45 76	-109	0	0.5
8/8/6nk/7p/7P/6K1/8/1R6 b - - 49 78	-107	0	0.5
8/R7/6nk/7p/7P/6K1/8/8 b - - 53 80	-96	0	0.5
8/R7/6nk/7p/7P/6K1/8/8 b - - 57 82	-103	0	0.5
R7/8/6nk/7p/7P/7K/8/8 b - - 61 84	-103	0	0.5
8/8/6nk/R6p/7P/7K/8/8 b - - 65 86	-97	0	0.5
8/8/R5nk/7p/7P/8/7K/8 b - - 69 88	-101	0	0.5
8/R7/6nk/7p/7P/7K/8/8 b - - 73 90	-94	0	0.5
5rk1/2qbn1bp/p5p1/4pp2/1PPpP3/5N1P/3BBPP1/3Q1RK1 w - - 0 17	184	79	0.5
5rk1/1q1bn1b1/p5pp/2P1pp2/1P1pP3/3B1N1P/3B1PP1/3Q1RK1 w - - 2 19	173	83	0.5
5rk1/1q2n1b1/p1b3pp/2P2P2/1P1pp3/3B1N1P/3B1PP1/3QR1K1 w - - 0 21	166	81	0.5
5r1k/1q2n1b1/p1b1Q1pp/2P2P2/1P1p4/3p1N1P/3B1PP1/4R1K1 w - - 2 23	218	45	0.5
5r1k/4Q1b1/p5pp/2P2P2/1P1p4/3p1q1P/3B1P2/4R1K1 w - - 0 25	273	77	0.5
5r1k/6b1/p5Pp/2P4q/1P1pQ3/3p4/3B1P2/4R1K1 w - - 1 27	167	32	0.5
7k/6b1/p4rPp/2P5/1P1pQP1q/3p4/3B1K2/4R3 w - - 3 29	127	40	0.5
Q1b1k2r/2pq2pp/2Nbpn2/3p1p2/5P2/2N1P1P1/1BPP3P/4K2R w Kk - 1 12	126	45	0.5
Q1b1qrk1/2p3pp/2Nbpn2/1N1p1p2/5P2/3PP1P1/1BP4P/4K2R w K - 1 14	122	42	0.5
Q1b2rk1/3q2pp/2Nppn2/3p1p2/5P2/3PP1P1/1BPK3P/7R w - - 2 16	150	42	0.5
5rk1/Qb4pp/2qppB2/3p1p2/5P2/3PP1P1/2PK3P/7R w - - 0 18	117	4	0.5
2r3k1/Qb5p/2qppp2/3p1p2/5P2/3PP1P1/1RPK3P/8 w - - 0 20	96	4	0.5
6k1/5pb1/b5p1/4p3/8/1NB1P3/rn1N1PP1/R3K3 b - - 3 26	150	56	0.5
6k1/5pb1/b5p1/4p3/8/1NB1P3/rn1N1PP1/R3K3 b - - 7 28	153	59	0.5
6k1/5pb1/b5p1/4p3/8/2BnP3/3NKPP1/N7 b - - 2 30	139	59	0.5
6k1/5pb1/b5p1/4p3/8/1NB1P3/3N1Pn1/3K4 b - - 1 32	153	59	0.5
6k1/5pb1/6p1/1bN1p3/4N2n/2B1P3/5P2/3K4 b - - 5 34	171	54	0.5
6k1/6b1/2b3p1/2N1ppN1/7n/2B1P3/4KP2/8 b - - 1 36	187	48	0.5
6k1/6B1/6p1/1bN2pN1/4p2n/4P3/5P2/3K4 b - - 0 38	120	40	0.5
8/4k3/6p1/1bN2pN1/4p3/4P3/3K1Pn1/8 b - - 11 44	112	31	0.5
8/8/3kN1p1/1b3pN1/4p2n/4P3/5P2/4K3 b - - 15 46	133	34	0.5
8/8/3k2p1/3b1pN1/3Np2n/4P3/5P2/5K2 b - - 19 48	135	33	0.5
8/7N/5kp1/3b1p2/3Np2n/4P3/5P2/6K1 b - - 23 50	129	37	0.5
8/8/4N1pk/3b1p2/3Np2n/4P3/5P2/6K1 b - - 27 52	131	28	0.5
8/8/4N1pk/5p2/4p3/4Pn2/5PK1/8 b - - 2 54	124	28	0.5
8/2N5/5k2/5pp1/4p3/4Pn2/5P2/5K2 b - - 9 59	108	28	0.5
8/8/8/1N2k1p1/4pp2/4Pn2/4KP2/8 b - - 1 61	125	26	0.5
8/8/8/1N2k3/4pp2/8/3K1P1n/8 b - - 1 63	117	24	0.5
8/8/8/4k1n1/4pp2/2N5/5P2/3K4 b - - 5 65	112	23	0.5
8/8/8/4k3/4pp2/2N5/3K1P2/6n1 b - - 9 67	106	21	0.5
8/2N5/8/4k3/4pp2/8/3K1P2/6n1 b - - 13 69	114	20	0.5
8/2N5/8/4k3/3npp2/8/3K1P2/8 b - - 17 71	108	19	0.5
8/2N5/8/3k4/3npp2/8/3K1P2/8 b - - 21 73	109	18	0.5
8/2N5/8/2k5/3npp2/8/5P2/4K3 b - - 25 75	106	18	0.5
8/2N5/8/4k3/3npp2/8/5P2/4K3 b - - 29 77	103	18	0.5
8/2N5/8/4k3/4p3/5p2/2nK1P2/8 b - - 1 79	104	15	0.5
8/2N5/8/4k3/4p3/5p2/2nK1P2/8 b - - 5 81	99	13	0.5
4N3/8/8/8/3kp3/n4p2/5P2/4K3 b - - 9 83	103	14	0.5
4N3/8/8/8/1n1kp3/5p2/5P2/4K3 b - - 13 85	105	11	0.5
8/6N1/8/3nk3/4p3/5p2/3K1P2/8 b - - 17 87	103	8	0.5
8/6N1/8/3nk3/4p3/5p2/3K1P2/8 b - - 21 89	90	6	0.5
4N3/8/4k3/3n4/4p3/5p2/5P2/3K4 b - - 25 91	91	4	0.5
8/6N1/8/4k3/1n2p3/5p2/5P2/4K3 b - - 29 93	90	4	0.5
4N3/8/8/4k3/4p3/n4p2/3K1P2/8 b - - 33 95	90	4	0.5
4N3/8/8/5k2/2n1p3/5p2/5P2/5K2 b - - 37 97	90	5	0.5
8/8/8/4k2N/2n1p3/5p2/5P2/5K2 b - - 41 99	89	1	0.5
4n3/8/8/4k2N/4p3/5p2/3K1P2/8 b - - 45 101	88	1	0.5
r2br1k1/1p3pp1/n1p2n1p/1q2N3/1P2P3/2B3P1/P2Q1PKP/1N2RR2 w - - 1 17	224	70	0.5
r3r1k1/1pb2pp1/n1p2n1p/4N3/qPN1P3/2B3P1/P2Q1PKP/4RR2 w - - 5 19	202	88	0.5
r5k1/1pbQ1pp1/n1p1r2p/8/qPN1P3/2B3P1/P4PKP/4RR2 w - - 1 21	175	67	0.5
r5k1/1p3pp1/n1pb2rp/8/qP1QP3/2B1N1P1/P4PKP/4RR2 w - - 5 23	191	62	0.5
r5k1/5pp1/n2b2rp/1p6/qPQ1P3/2B1N1P1/5PKP/4RR2 w - - 0 26	155	54	0.5
r5k1/5pp1/3b2rp/1p6/1q2P3/3QN1P1/5PKP/4RR2 w - - 0 28	183	66	0.5
4r1k1/5pp1/3b2rp/1R6/q3P3/3QN1P1/5PKP/5R2 w - - 1 30	195	75	0.5
4rbk1/5pp1/r6p/1R6/q3P3/3QNPP1/5RKP/8 w - - 3 32	186	76	0.5
4rbk1/r4pp1/7p/1R1N4/4P3/3Q1PP1/3R2KP/q7 w - - 7 34	213	88	0.5
4rbk1/r4pp1/3q3p/3N4/4P3/5PP1/1R1R2KP/1Q6 w - - 11 36	229	93	0.5
4rbk1/r5p1/1R5p/3Nqp2/4P3/5PP1/1Q1R2KP/8 w - - 0 38	197	94	0.5
2r2bk1/5rp1/1R5p/1Q1Nqp2/4P3/5PP1/1R4KP/8 w - - 4 40	197	92	0.5
5bk1/5rp1/1R5p/2r1q3/4pN2/5PP1/1R2Q1KP/8 w - - 0 42	186	80	0.5
5bk1/5rp1/1R5p/4r3/4PN2/6P1/1R4KP/8 w - - 1 44	187	68	0.5
5bk1/6p1/1R2r1Np/4r3/4P3/6P1/4R1KP/8 w - - 5 46	244	71	0.5
5bk1/6p1/2r4p/8/4PN2/6P1/4R1KP/8 w - - 2 48	206	54	0.5
5b2/5k2/2r4p/3N2p1/4P3/5KP1/4R2P/8 w - - 2 50	165	55	0.5
8/5k2/3br2p/3N2p1/4P2P/5KP1/R7/8 w - - 1 52	154	53	0.5
8/8/3br1k1/3N2pp/R3P1KP/6P1/8/8 w - - 0 54	143	30	0.5
8/8/4r1k1/3Nb2p/R3P2P/5K2/8/8 w - - 1 56	248	15	0.5
8/8/4r2k/R6p/4Pb1P/5K2/8/8 w - - 0 58	155	9	0.5
8/8/1r5k/5R1p/4PK1P/8/8/8 w - - 3 60	112	0	0.5
2rq1rk1/8/3pP2p/1NpPbpp1/1p4bn/4B1N1/1PPQ2B1/4RRK1 w - - 2 22	206	94	0.5
2r2rk1/8/3pP3/1NpPbpp1/1p4bn/6N1/1PP3B1/4RRK1 w - - 0 24	244	120	0.5
2r2rk1/4P3/8/1NpPp1p1/1p3pbn/6N1/1PP3B1/5RK1 w - - 0 26	252	104	0.5
5rk1/8/8/1NpPp1p1/1p2Np1n/8/1PP1b1B1/5RK1 w - - 2 28	260	149	0.5
5rk1/2N5/8/2pPp1p1/1p2N3/5p2/1PP1b1K1/5R2 w - - 0 30	329	148	0.5
5rk1/2N5/8/2pPp3/1p2N1p1/5p2/1PP5/5K2 w - - 0 32	391	166	0.5
8/8/3k1N2/4p3/8/5pp1/5K2/N7 w - - 0 49	82	0	0.5
8/8/8/4k3/4N3/5pK1/8/N7 w - - 1 51	97	0	0.5
8/8/8/8/8/2k2pK1/2N2N2/8 w - - 5 53	106	0	0.5
8/8/8/8/5K2/4Np2/4kN2/8 w - - 9 55	105	0	0.5
8/8/5N2/8/5K2/5p2/4kN2/8 w - - 13 57	106	0	0.5
8/8/8/8/4N3/5K2/5N2/5k2 w - - 1 59	117	0	0.5
8/8/8/8/8/3N1KN1/7k/8 w - - 5 61	128	0	0.5
8/8/8/8/5N2/4K1N1/7k/8 w - - 9 63	125	0	0.5
8/8/8/8/5N2/5K2/4N2k/8 w - - 13 65	122	0	0.5
8/8/4N3/8/8/8/4NK1k/8 w - - 17 67	134	0	0.5
8/8/8/8/5N2/6N1/5K1k/8 w - - 21 69	115	0	0.5
8/8/8/8/5N2/8/8/4KNk1 w - - 25 71	122	0	0.5
8/8/8/8/5N2/8/4N3/4K2k w - - 29 73	124	0	0.5
8/8/8/5N2/5N2/8/8/4K2k w - - 33 75	121	0	0.5
8/8/3N4/8/5N2/8/5K2/7k w - - 37 77	112	0	0.5
8/8/8/8/5N2/4N3/5K2/7k w - - 41 79	125	0	0.5
8/8/8/8/8/4N1K1/4N3/7k w - - 45 81	112	0	0.5
8/8/8/8/5N2/4N3/5K2/7k w - - 49 83	130	0	0.5
8/6N1/8/8/5N2/8/5K2/7k w - - 53 85	122	0	0.5
8/8/5N2/8/5N2/8/5K2/7k w - - 57 87	131	0	0.5
8/8/5N2/8/5N2/8/5K2/7k w - - 61 89	131	0	0.5
8/8/8/8/5N2/8/3N1K2/7k w - - 65 91	120	0	0.5
8/8/8/8/8/6KN/3N4/7k w - - 69 93	120	0	0.5
8/8/8/6N1/8/8/3N1K2/7k w - - 73 95	88	0	0.5
8/8/8/6N1/4N3/8/8/5K1k w - - 77 97	94	0	0.5
8/8/8/6N1/8/8/3N1K2/7k w - - 81 99	137	0	0.5
8/8/8/2N3N1/8/8/5K2/7k w - - 85 101	119	0	0.5
8/8/8/2N3N1/8/8/5K2/7k w - - 89 103	118	0	0.5
q7/8/5p2/6p1/4P3/6R1/1k1N1PK1/8 b - - 16 129	101	8	0.5
8/8/5p2/6p1/4q3/6R1/2k2P2/5NK1 b - - 1 131	102	6	0.5
8/1q6/5p2/6p1/8/6R1/1k3P2/5NK1 b - - 5 133	112	5	0.5
8/8/5p2/6pq/8/4N1R1/1k3PK1/8 b - - 9 135	99	0	0.5
q2b1B2/3Q1pp1/7k/1K5p/1Pp2P2/4P3/5P2/8 b - - 4 36	277	93	0.5
3b1B2/5Qp1/7k/1K5p/1P2PP2/2p5/5Pq1/8 b - - 0 38	336	200	0.5
3b1BQ1/6p1/7k/8/KP2PP1p/2p5/5P2/5q2 b - - 3 40	159	40	0.5
3b2Q1/6B1/7k/8/1P2PP1p/K7/2p2P2/3q4 b - - 0 42	190	26	0.5
3b2Q1/8/8/7k/1P2PP1p/K7/5P2/2Bq4 b - - 0 44	144	23	0.5
1k1R1b1r/1b4pp/p4p2/1pp5/2q2PP1/2N4P/1PN2Q2/2K5 b - - 1 22	204	109	0.5
3R1b1r/1bk3pp/p3qp2/1pp5/5PP1/7P/1PNQN3/2K5 b - - 5 24	214	121	0.5
2bR1b1r/2k3pp/p1q2p2/1pp2P2/6P1/4N2P/1P1QN3/2K5 b - - 0 26	285	113	0.5
2bR1b1r/2k5/p1q2pp1/1pp5/5NP1/4N2P/1P1Q4/2K5 b - - 1 28	264	117	0.5
2bR1b1r/1k6/p1q2pp1/Qp1N4/2p2NP1/7P/1P6/2K5 b - - 3 30	246	130	0.5
2bR1b1r/1k6/p1q2p2/Qp1N2p1/6P1/2P4P/4N3/2K5 b - - 1 32	298	158	0.5
2bQ4/1k6/p1q2p2/1p1N2p1/6P1/b1P4P/3KN3/8 b - - 0 34	302	174	0.5
8/1k6/p1q2N2/1p4p1/2bQ2P1/b1P4P/3KN3/8 b - - 2 36	328	158	0.5
8/1k2b3/p7/1p1q2p1/2bQN1P1/2P4P/2K1N3/8 b - - 6 38	356	186	0.5
8/1k2b3/8/pp1q2p1/3Q2P1/1bPK3P/3NN3/8 b - - 1 40	424	204	0.5
8/1k6/5b2/pp1b2p1/2P3P1/3K3P/3NN3/8 b - - 0 42	458	208	0.5
8/1k6/5b2/3b2p1/p5P1/N2K3P/4N3/8 b - - 1 44	480	193	0.5
8/1k2b3/8/3b2p1/6P1/p1NK3P/2N5/8 b - - 1 46	513	184	0.5
6b1/1k6/8/6p1/4N1P1/b2K3P/8/8 b - - 1 48	539	234	0.5
6b1/4b3/2k5/4K1p1/4N1P1/7P/8/8 b - - 5 50	561	252	0.5
3b4/8/2k5/4K1p1/4N1P1/7P/b7/8 b - - 9 52	609	249	0.5
3b4/4k3/8/4K1p1/4N1P1/7P/b7/8 b - - 13 54	663	263	0.5
8/5k2/5b2/6p1/4K1P1/7P/b2N4/8 b - - 17 56	620	233	0.5
3b4/8/4k3/6p1/3NK1P1/7P/b7/8 b - - 21 58	630	224	0.5
3b4/3k4/8/5Np1/6P1/5K1P/b7/8 b - - 25 60	562	150	0.5
8/2bk4/8/5Np1/6P1/5K1P/8/1b6 b - - 29 62	317	134	0.5
3b4/8/4k3/5Np1/6PP/6K1/8/1b6 b - - 0 64	304	93	0.5
8/8/8/3k2b1/6PN/6K1/8/1b6 b - - 1 66	312	59	0.5
8/8/8/8/4kbP1/5N2/5K2/1b6 b - - 5 68	285	52	0.5
8/8/8/6P1/4k3/3b1NK1/8/2b5 b - - 0 70	271	28	0.5
8/6b1/6P1/8/4k2N/3b2K1/8/8 b - - 2 72	237	50	0.5
8/6b1/6P1/4k3/7N/6K1/4b3/8 b - - 6 74	234	66	0.5
8/6b1/6P1/8/4kN2/6K1/8/5b2 b - - 10 76	229	55	0.5
8/6b1/b5P1/5k2/8/5K2/6N1/8 b - - 14 78	222	53	0.5
8/6b1/2b3P1/5k2/8/6K1/6N1/8 b - - 18 80	229	79	0.5
