fen	coda_cp	opp_cp	outcome
8/p3n1k1/1p2bp1p/P6P/1P2B1P1/5K2/3B4/8 w - - 3 59	211	87	0.5
8/p3n1k1/1p2bp1p/P6P/1P2B1P1/6K1/3B4/8 w - - 7 61	198	100	0.5
8/p5k1/1p3p1p/P2n3P/1Pb3P1/4BBK1/8/8 w - - 11 63	196	87	0.5
8/p5k1/1p3p1p/P2n3P/1Pb3P1/5B2/3B1K2/8 w - - 15 65	216	21	0.5
8/p5k1/1p5p/P2n1p1P/1P4P1/8/3BK3/8 w - - 0 67	350	-4	0.5
4q1k1/8/4n1pn/2p2p2/ppP2P1P/3PQ1K1/P4N2/B7 b - - 3 43	183	98	0.5
4Q1k1/5nn1/6p1/2p2p2/ppP2P1P/3P2KN/P7/B7 b - - 0 45	214	79	0.5
6k1/5nn1/6p1/2p2p2/ppP2P1P/3P2K1/P3N3/B7 b - - 3 47	194	78	0.5
8/5n1k/4nBp1/2p2p2/ppP2P1P/3P1K2/P3N3/8 b - - 7 49	250	117	0.5
8/7k/4n1p1/n1P1Bp2/ppP2P1P/5K2/P3N3/8 b - - 0 52	301	109	0.5
8/7k/4n1p1/n1P1Bp2/2P2P1P/1p2K3/4N3/8 b - - 1 54	443	81	0.5
8/7k/4n1p1/2P2p2/2n2P1P/5K2/1B2N3/8 b - - 1 56	256	94	0.5
8/7k/4n1p1/2P2p1P/5P2/5KN1/8/3n4 b - - 0 58	225	90	0.5
8/7k/8/2P2p1N/3n1P2/8/6K1/3n4 b - - 0 60	213	110	0.5
8/8/2P2k2/5p2/3n1P2/6N1/6K1/3n4 b - - 0 62	212	52	0.5
8/8/2n5/5k2/5P2/8/8/3n1K2 b - - 1 64	200	43	0.5
8/8/8/5k2/3n1P2/2n5/3K4/8 b - - 5 66	181	66	0.5
8/8/8/1n3k2/4nP2/3K4/8/8 b - - 9 68	181	62	0.5
8/8/8/1n3k2/2n2P2/8/4K3/8 b - - 13 70	181	55	0.5
8/8/8/1n3k2/2K1nP2/8/8/8 b - - 17 72	181	62	0.5
8/8/3n1n2/5k2/3K1P2/8/8/8 b - - 21 74	179	67	0.5
8/1n6/8/5k2/3K1Pn1/8/8/8 b - - 25 76	179	70	0.5
8/8/3n1n2/5k2/3K1P2/8/8/8 b - - 29 78	179	47	0.5
8/8/3n4/2n2k2/5P2/8/3K4/8 b - - 33 80	179	59	0.5
8/2n5/8/2n2k2/3K1P2/8/8/8 b - - 37 82	178	60	0.5
8/3n4/4n3/5k2/2K2P2/8/8/8 b - - 41 84	178	56	0.5
8/8/4nn2/1K3P2/4k3/8/8/8 b - - 0 86	213	59	0.5
8/5n2/5n2/5P2/2K1k3/8/8/8 b - - 4 88	213	34	0.5
