fen	A	B	gap_d	gap_deep	gap_e	vd	vdeep	ve
r5k1/p1q2ppp/1n6/1P2p3/2p5/RnN1PB2/R2r1PPP/1Q4K1 b - - 1 18	d2d3	d2a2	80	129	115	CONFIRMED	CONFIRMED	CONFIRMED
2r1k3/3b1pp1/1q1P3r/pPP5/5P1b/B2Q4/R4RB1/6K1 b - - 0 25	h4f2	h4f2	0	0	0	EXONERATED	EXONERATED	EXONERATED
1r2rqk1/1bp2pbp/p5p1/1p2p1Pn/3nP3/1PN1QN1P/PBP1BP2/1K1RR3 w - - 1 18	f3e5	f3d4	73	82	69	SOFT	CONFIRMED	SOFT
4rk2/Q1p2q2/1n1p1n2/8/p1PPP2P/3B3b/5R2/1R5K b - - 1 31	b6c4	b6c4	0	0	0	EXONERATED	EXONERATED	EXONERATED
1rbq1rk1/p4pb1/2p3pp/2nppP2/1p2P1P1/1B1P4/PPPBQ2P/2K2RNR w - - 0 12	g4g5	g4g5	0	0	0	EXONERATED	EXONERATED	EXONERATED
1r1r2k1/p4pP1/2p3p1/4pP2/1p2P3/1P1bQR2/qP1B3P/2K3NR w - - 2 19	c1d1	e3d3	48	0	73	SOFT	EXONERATED	SOFT
1r3rk1/p1q1bpp1/4p2p/3bN3/2BBnP2/P7/1PP1Q1PP/2KR3R w - - 5 16	h1f1	c4d3	125	144	164	CONFIRMED	CONFIRMED	CONFIRMED
1q6/2N2p1k/6pp/3b4/8/2Q1R1KP/2P3P1/r7 b - - 9 40	a1g1	a1g1	0	0	0	EXONERATED	EXONERATED	EXONERATED
2r1r3/3q2k1/2n2p2/1pBp1np1/1P1P4/R1N3Pb/3Q4/4R1KB w - - 1 30	c3d5	e1e8	11	7	2	EXONERATED	EXONERATED	EXONERATED
3r2k1/5pp1/5b1p/1pP1q3/1P1p4/P4Q2/1B4PP/5RK1 b - - 1 23	e5e6	e5e6	0	0	0	EXONERATED	EXONERATED	EXONERATED
7r/2k1bR2/r3P3/p1pP2pp/1p2P2p/2P5/PP5P/R5K1 b - - 1 21	c7d6	c7d8	68	18	9	SOFT	EXONERATED	EXONERATED
5r1k/6p1/pR1p1q1p/P1p1p3/2P1Q1P1/2NP4/3B1r2/3K4 b - - 5 37	f6h4	f6h4	0	0	0	EXONERATED	EXONERATED	EXONERATED
5r1k/6p1/R2p3p/P1p5/2P1p1P1/2NPQ3/3B1r1q/2K5 b - - 1 40	f2f1	h2h1	0	0	0	EXONERATED	EXONERATED	EXONERATED
3rr2k/8/3n4/P2R2pP/4qpQ1/2b4B/6KB/3R4 w - - 2 39	g4f3	g4f3	0	0	0	EXONERATED	EXONERATED	EXONERATED
1kbr3r/1pp5/n1Bp1q1p/QN1P1p2/P1P1np2/1P1NP3/K6P/3R2R1 w - - 6 25	e3f4	d3f4	12	10	19	EXONERATED	EXONERATED	EXONERATED
1k6/8/2K5/8/3B4/P7/8/8 b - - 10 69	b8a8	b8a8	0	0	0	EXONERATED	EXONERATED	EXONERATED
1k1rr3/2p5/1p4q1/pP2n1P1/Pb1Bp3/4P3/1KPN2Q1/R5R1 w - - 5 29	a1d1	c2c3	176	215	213	CONFIRMED	CONFIRMED	CONFIRMED
8/5k1p/1pRb3P/1P3rr1/8/2P4K/4Q3/8 w - - 1 45	e2a2	e2a2	0	0	0	EXONERATED	EXONERATED	EXONERATED
8/7p/1p1b1k1P/1P3rr1/2R5/2P4K/Q7/8 w - - 5 47	a2a8	a2a8	0	0	0	EXONERATED	EXONERATED	EXONERATED
1k1r3r/1bqnb3/1pnpp1p1/2p3Pp/1P1PPP2/P3BNN1/3Q2B1/4RRK1 b - - 0 18	e6e5	e6e5	0	0	0	EXONERATED	EXONERATED	EXONERATED
r4rk1/1p3pb1/q1p5/8/pPPpQ1Pp/N7/3BN2P/5RK1 w - - 0 24	e2f4	e2f4	0	0	0	EXONERATED	EXONERATED	EXONERATED
r4rk1/1p3pb1/2q5/2P5/p1PpQNPp/N7/3B3P/5RK1 w - - 1 26	e4f5	f4d5	43	24	29	SOFT	EXONERATED	EXONERATED
8/4B3/6p1/3k1p2/5K1P/1r4P1/5N2/8 w - - 6 62	f2h3	e7d8	-1	2	4	EXONERATED	EXONERATED	EXONERATED
3B4/8/6p1/3k1p2/2r2K1P/6PN/8/8 w - - 10 64	f4g5	f4f3	40	55	39	SOFT	SOFT	SOFT
4r2k/1p1q1rbp/p1p3n1/8/1PPN4/4P2P/P5R1/2BQ2RK b - - 8 29	e8e4	e8e4	0	0	0	EXONERATED	EXONERATED	EXONERATED
2rq1rk1/1p4pp/1b1pP1n1/p7/1n2Pp2/BPN4P/P2Q1PB1/2RR2K1 w - - 2 19	d2d6	d2d6	0	0	0	EXONERATED	EXONERATED	EXONERATED
3r2k1/4q2p/3n4/2p3b1/1pP1p1P1/4P2P/1B2Q1N1/5RK1 b - - 0 29	d8f8	d8f8	0	0	0	EXONERATED	EXONERATED	EXONERATED
6k1/1q3n1p/8/R1p3b1/1pP1p1P1/4Pr1P/1B1Q2N1/6K1 b - - 8 33	f3h3	b7b8	10	0	7	EXONERATED	EXONERATED	EXONERATED
8/2b5/1p6/pPp3kp/P1N1Pp2/3K1P1P/8/8 w - - 61 146	e4e5	d3e2	0	0	0	EXONERATED	EXONERATED	EXONERATED
2r3k1/3r1pb1/1p2p1p1/p1q1Pn2/P1Pp1QN1/1P1R3R/7P/2B3K1 b - - 24 33	d7d5	d7d5	0	0	0	EXONERATED	EXONERATED	EXONERATED
2r3k1/5p2/1p2pPp1/p1qr1n2/P1Pp1Q2/1P1R3R/7P/2B3K1 b - - 0 35	d5e5	d5e5	0	0	0	EXONERATED	EXONERATED	EXONERATED
r4rk1/1bppq3/1p2p1pp/p2PP3/2n3P1/8/PP4BP/1RBQ1RK1 w - - 0 16	f1f8	f1f8	0	0	0	EXONERATED	EXONERATED	EXONERATED
3r3k/3n3p/bpBP4/p3Pn2/P1NP1P2/1P6/2RQ1Kp1/4R2q b - - 2 29	h1h4	h1h4	0	0	0	EXONERATED	EXONERATED	EXONERATED
3r3k/3n3p/bpBP4/p3Pn2/P1NP1Pq1/1P6/2RQ1Kp1/4R3 b - - 6 31	g4h4	g4h4	0	0	0	EXONERATED	EXONERATED	EXONERATED
1rbqr1k1/1p3nbp/pN2n3/P4p2/2B3p1/B3P3/5PPP/R1Q2RK1 w - - 6 24	c1c2	a1a2	84	59	95	CONFIRMED	SOFT	CONFIRMED
