fen	played_uci	coda_cp	opp_cp	dur	src
r1bqk2r/ppp1n2p/5ppQ/2bpp3/4P3/P1N3P1/1PKPNPBP/R1B4R b kq - 0 6	d5d4	-12	-90	3	runA150.pgn
r1b1k2r/pppq3p/3b1ppQ/3Pp3/1P1p4/P2P2P1/2K1NPBP/R1B4R b kq - 0 10	d7a4	-36	-80	3	runA150.pgn
r1b1k2r/ppp4p/3b1ppQ/3Pp3/qP1p4/P2P2P1/3KNPBP/R1B4R b kq - 2 11	c8f5	-30	-86	3	runA150.pgn
r3k2r/ppp4p/3b1ppQ/3Ppb2/qP1p4/P2P2PB/3KNP1P/R1B4R b kq - 4 12	f5h3	-40	-107	3	runA150.pgn
3nrr1k/2pq2pp/1p1pbp2/p7/P1PPPRP1/2P1N3/4Q1BP/R5K1 w - - 1 23	h2h4	81	28	3	runA150.pgn
3nrr1k/2pq1bpp/1p1p1p2/p7/P1PPPRPP/2P1N3/4Q1B1/R5K1 w - - 1 24	f4f2	66	12	3	runA150.pgn
3nrr1k/2pq2pp/1p1p1pb1/p7/P1PPP1PP/2P1N3/4QRB1/R5K1 w - - 3 25	e3d5	73	6	3	runA150.pgn
r3kb1r/ppp1ppp1/2n2n2/8/4PP2/2PB3P/PP1N3P/R1BK3R b kq - 0 6	a8d8	90	46	5	runA150.pgn
3rkb1r/ppp1ppp1/2n2n2/8/4PP2/2PB3P/PPKN3P/R1B4R b k - 2 7	g7g6	65	24	5	runA150.pgn
3rkb1r/ppp1pp2/2n2np1/8/4PP2/2P4P/PPKN3P/R1B2B1R b k - 1 8	f8h6	68	1	5	runA150.pgn
r4rk1/1bqnpp1p/ppnp2p1/8/2P1P3/N1P1BP1P/P3B1P1/1R1Q1RK1 w - - 4 14	d1d2	78	32	11	runA150.pgn
r4rk1/1bqnpp1p/pp1p2p1/n7/2P1P3/N1P1BP1P/P2QB1P1/1R3RK1 w - - 6 15	e3d4	104	35	11	runA150.pgn
1r3rk1/1bqnpp1p/pp1p2p1/n7/2PBP3/N1P2P1P/P2QB1P1/1R3RK1 w - - 8 16	b1b2	96	40	11	runA150.pgn
br1q3k/3n2rp/1p1pppPQ/p1nN4/2PBP3/2P2P2/P1R3P1/1R3BK1 w - - 0 29	d4c5	108	46	8	runA150.pgn
br1q3k/6rp/1p1pppPQ/p1nN4/2P1P3/2P2P2/P1R3P1/1R3BK1 w - - 0 30	d5e3	98	35	8	runA150.pgn
br1q3k/7p/1p1ppprQ/p1n5/2P1P3/2P1NP2/P1R3P1/1R3BK1 w - - 0 31	h6f4	138	36	8	runA150.pgn
1r3q1k/3b3p/1p1p1p1r/p1n1p3/2P1P1P1/2P1NP2/P2R4/1R2QBK1 w - - 1 38	e3f5	93	23	5	runA150.pgn
1r3q1k/7p/1p1p1p1r/p1n1pb2/2P1P1P1/2P2P2/P2R4/1R2QBK1 w - - 0 39	e4f5	128	18	5	runA150.pgn
1r3q1k/7p/1p1p1p1r/p1n2P2/2P1p1P1/2P2P2/P2R4/1R2QBK1 w - - 0 40	f3f4	97	1	5	runA150.pgn
2r1r1k1/ppq2pb1/3p3p/P3pPp1/2P1n3/7P/QB3PPN/2RR2K1 b - - 9 17	c7d7	105	54	15	runA150.pgn
2r1r1k1/pp1q1pb1/3p3p/P3pPp1/2P1n1P1/7P/QB3P1N/2RR2K1 b - - 0 18	b7b5	121	62	15	runA150.pgn
2r1r1k1/p2q1pb1/1P1p3p/4pPp1/2P1n1P1/7P/QB3P1N/2RR2K1 b - - 0 19	a7b6	115	59	15	runA150.pgn
4r1k1/3R1p2/3p4/5Pp1/6Pp/2b1NK1P/8/8 b - - 1 69	c3e5	132	3	3	runA150.pgn
4r1k1/3R1p2/3p4/3NbPp1/6Pp/5K1P/8/8 b - - 3 70	e8a8	83	0	3	runA150.pgn
r5k1/3R1p2/3p1P2/3Nb1p1/6Pp/5K1P/8/8 b - - 0 71	a8a3	47	-7	3	runA150.pgn
r1bq1rk1/2p2pbp/p1np1np1/1p2p3/3PP3/1PNB1N2/PBPQ1PPP/1K1R3R w - - 0 7	d4e5	129	57	8	runA150.pgn
r1bq1rk1/2p2pbp/p1n2np1/1p2p3/4P3/1PNB1N2/PBPQ1PPP/1K1R3R w - - 0 8	d2e3	130	56	8	runA150.pgn
r1b2rk1/2p1qpbp/p1n2np1/1p2p3/4P3/1PNBQN2/PBP2PPP/1K1R3R w - - 2 9	c3d5	142	56	8	runA150.pgn
8/4k3/1pB2n2/pP3p1p/P3pP2/6P1/1K5R/6b1 w - - 2 49	h2g2	53	13	3	runA150.pgn
8/4k3/1pB2n2/pPb2p1p/P3pP2/6P1/1K4R1/8 w - - 4 50	g2h2	48	5	3	runA150.pgn
8/4k3/1pB2n2/pP3p1p/P3pP2/6P1/1K5R/6b1 w - - 6 51	h2c2	95	0	3	runA150.pgn
