fen	played_uci	coda_cp	opp_cp	dur	src
8/1bp5/1p1p1k1p/p4rp1/P3p3/1PP1R1PP/4RP2/6K1 w - - 0 31	e2e1	96	50	3	runA150.pgn
8/1bp5/1p1p1k2/p4rpp/P7/1PP1RpPP/8/4R1K1 w - - 0 33	g1f2	78	35	8	runA150.pgn
8/1bp5/1p1p1k2/p3r1pp/P7/1PP1RpPP/5K2/4R3 w - - 2 34	g3g4	108	43	8	runA150.pgn
8/1bp5/1p1p1k2/p5pp/P5P1/1PP1rp1P/5K2/4R3 w - - 0 35	e1e3	66	26	8	runA150.pgn
r2q1rk1/p2n1pbp/b2ppnp1/p1p5/2PP4/2N2NP1/QP2PPBP/R1B2RK1 b - - 1 8	a8b8	43	0	2	runA150.pgn
1r1q1rk1/p2n1pbp/b2ppnp1/p1p5/2PP1B2/2N2NP1/QP2PPBP/R4RK1 b - - 3 9	b8b6	71	8	2	runA150.pgn
1r3rk1/2pb2pp/3p2n1/p7/2P1PP1q/2N4P/PP1QNP2/1R2K2R w K - 1 17	f4f5	87	25	3	runA150.pgn
1r3rk1/2pb2pp/3p4/p3nP2/2P1P2q/2N4P/PP1QNP2/1R2K2R w K - 1 18	e1d1	74	22	3	runA150.pgn
1r3rk1/2p3pp/2bp4/p3nP2/2P1P2q/2N4P/PP1QNP2/1R1K3R w - - 3 19	d2f4	97	23	3	runA150.pgn
6k1/2N4p/3p2n1/R7/8/1PN4b/P4r2/3K4 w - - 0 31	c3e4	55	10	2	runA150.pgn
6k1/2N4p/3p2n1/R7/4N3/1P5b/P6r/3K4 w - - 2 32	c7e8	50	0	2	runA150.pgn
rqb1k2r/pp2pp2/8/2pp1n2/3b4/3P1N2/PPP1N1PP/R1B1QR1K b kq - 8 14	d4e3	122	52	9	runA150.pgn
rqb1k2r/pp2pp2/8/2pp1n2/8/2QPbN2/PPP1N1PP/R1B2R1K b kq - 10 15	f7f6	122	62	9	runA150.pgn
rqb1k2r/pp2p3/5p2/2pp1n2/8/2QPBN2/PPP1N1PP/R4R1K b kq - 0 16	f5e3	101	59	9	runA150.pgn
8/8/1p1r2k1/1R6/6KP/8/5P2/8 w - - 1 49	h4h5	81	33	34	runA150.pgn
8/6k1/1p1r4/1R5P/6K1/8/5P2/8 w - - 1 50	b5g5	92	35	34	runA150.pgn
8/8/1p1r3k/6RP/6K1/8/5P2/8 w - - 3 51	f2f4	98	40	34	runA150.pgn
8/5k2/p7/P7/3B2n1/8/5PK1/8 b - - 5 50	g4f2	-109	-35	27	runA150.pgn
8/5k2/p7/P7/8/8/5BK1/8 b - - 0 51	f7e7	-125	-39	27	runA150.pgn
8/4k3/p7/P7/8/5K2/5B2/8 b - - 2 52	e7d6	-136	-37	27	runA150.pgn
6k1/R7/5rNp/2n2P1p/pp6/1n6/B5PK/8 w - - 4 69	g6e7	-151	-72	45	runA150.pgn
5k2/R3N3/5r1p/2n2P1p/pp6/1n6/B5PK/8 w - - 6 70	e7d5	-164	-67	45	runA150.pgn
5k2/R4r2/7p/2nN1P1p/pp6/1n6/B5PK/8 w - - 8 71	a7a8	-156	-67	45	runA150.pgn
8/3n4/8/2R5/p7/8/k3B1r1/3K4 w - - 8 125	c5c7	-42	0	2	runA150.pgn
8/2R5/8/4n3/p7/8/k3B1r1/3K4 w - - 10 126	e2b5	-42	0	2	runA150.pgn
5rk1/pb5p/2qb4/4p3/2p2p1N/1PP5/P2Q2PP/R4RK1 w - - 0 25	a1d1	91	40	32	runA150.pgn
5rk1/pbb4p/2q5/4p3/2p2p1N/1PP5/P2Q2PP/3R1RK1 w - - 2 26	d2d7	89	37	32	runA150.pgn
5rk1/pbbq3p/8/4p3/2p2p1N/1PP5/P5PP/3R1RK1 w - - 0 27	d1d7	82	34	32	runA150.pgn
r7/4r1k1/2p1npp1/4n2p/P2qP3/1Q2N1PP/2P3BK/R4R2 w - - 3 31	a4a5	-98	-37	15	runA150.pgn
r7/4r1k1/2p1npp1/P1q1n2p/4P3/1Q2N1PP/2P3BK/R4R2 w - - 1 32	b3b6	-96	-35	15	runA150.pgn
r7/r5k1/1Qp1npp1/P1q1n2p/4P3/4N1PP/2P3BK/R4R2 w - - 3 33	e3d5	-95	-44	15	runA150.pgn
r4k1r/1ppq1pp1/p1nb1nb1/6N1/P1NPp3/1QP4p/1P2B1PP/R1B2RK1 w - - 0 14	c4d6	7	-92	2	runA150.pgn
r4k1r/1ppq1pp1/p1nN1nb1/6N1/P2Pp3/1QP5/1P2B1pP/R1B2RK1 w - - 0 15	f1f6	66	-141	2	runA150.pgn
8/3r4/p7/1p1B1k2/PPP2p2/4p2r/4R2P/2B2K2 w - - 0 33	a4b5	-124	-44	3	runA150.pgn
8/3r4/8/1p1B1k2/1PP2p2/4p2r/4R2P/2B2K2 w - - 0 34	e2c2	-149	-28	3	runA150.pgn
8/3r4/8/3B1k2/1Pp2p2/4p2r/2R4P/2B2K2 w - - 0 35	d5c4	-76	-25	3	runA150.pgn
r1bqk2r/1pp2p2/p1n1p1pp/3p4/P3PB2/2b5/1PP2PPQ/2KR1B1R w kq - 0 11	b2c3	0	-44	4	runA150.pgn
r1b1k2r/1pp1qp2/p1n1p1pp/3p4/P3PB2/2P5/2P2PPQ/2KR1B1R w kq - 1 12	f4c7	0	-64	4	runA150.pgn
r1b1k2r/1pB1qp2/p1n1p1pp/8/P3p3/2P5/2P2PPQ/2KR1B1R w kq - 0 13	f1c4	-1	-72	4	runA150.pgn
2rr2k1/1pq2pp1/p1n5/P2nBP1p/RbN1Q3/1P1P2P1/2P4P/2KN1R2 b - - 0 28	c6e5	-30	-122	4	runA150.pgn
2rr2k1/1pq2pp1/p7/P2nQP1p/RbN5/1P1P2P1/2P4P/2KN1R2 b - - 0 29	c7c5	-38	-130	4	runA150.pgn
2rr2k1/1p3pp1/p4P2/P1qnQ2p/RbN5/1P1P2P1/2P4P/2KN1R2 b - - 0 30	g7g6	0	-128	4	runA150.pgn
3r2k1/1pr2p2/p4npQ/P3NR1p/1R1q4/1P1P2P1/2P4P/2KN4 b - - 0 35	d4b4	-290	-158	2	runA150.pgn
3r2k1/1pr2p2/p4RpQ/P3N2p/1q6/1P1P2P1/2P4P/2KN4 b - - 0 36	b4a5	-298	-171	2	runA150.pgn
q7/3r1p1k/2Nbbnpp/PP6/3P4/6P1/3B1P1P/RR4KB b - - 2 24	e6d5	125	56	2	runA150.pgn
q7/3r1p1k/2Nb1npp/PP1B4/3P4/6P1/3B1P1P/RR4K1 b - - 0 25	f6d5	114	61	2	runA150.pgn
2r5/2RK4/8/3bk3/8/8/8/8 b - - 59 88	c8g8	83	15	14	runA150.pgn
6r1/2R1K3/8/3bk3/8/8/8/8 b - - 61 89	g8h8	69	18	14	runA150.pgn
7r/3RK3/8/3bk3/8/8/8/8 b - - 63 90	h8h6	69	20	14	runA150.pgn
r1b2rk1/ppq1ppbp/6p1/8/1N1n1P2/3P2P1/PB2P1BP/R3QRK1 w - - 0 12	a1b1	44	4	2	runA150.pgn
r4rk1/ppq1ppbp/4b1p1/8/1N1n1P2/3P2P1/PB2P1BP/1R2QRK1 w - - 2 13	e2e3	59	4	2	runA150.pgn
2r1r1k1/1ppbqpbp/1nnp2p1/p7/P1PP1B2/1BN2P2/1P1QN1PP/R3R2K w - - 1 13	c3b5	149	89	36	runA150.pgn
2r1r1k1/1ppbqpbp/1n1p2p1/pN6/PnPP1B2/1B3P2/1P1QN1PP/R3R2K w - - 3 14	e2c3	154	85	36	runA150.pgn
2r1rqk1/1ppb1pbp/1n1p2p1/pN6/PnPP1B2/1BN2P2/1P1Q2PP/R3R2K w - - 5 15	e1e8	147	70	36	runA150.pgn
5b2/5p2/2k3p1/3p3p/1P1P4/1KB1rP1P/6P1/R7 w - - 9 50	a1a6	148	32	10	runA150.pgn
5b2/5p2/R5p1/1k1p3p/1P1P4/1KB1rP1P/6P1/8 w - - 11 51	a6a5	109	30	10	runA150.pgn
5b2/5p2/2k3p1/R2p3p/1P1P4/1KB1rP1P/6P1/8 w - - 13 52	a5a6	82	27	10	runA150.pgn
q2r4/5pk1/3P2p1/p1p2p2/2P2P2/2P4P/P3Q2P/1R4K1 b - - 0 32	a8c6	-66	-2	2	runA150.pgn
3r4/5pk1/2qP2p1/p1p1Qp2/2P2P2/2P4P/P6P/1R4K1 b - - 2 33	g7h7	-72	-21	2	runA150.pgn
3q3r/r4kp1/p1pn1p2/P2p1b2/3P3p/1PNN1R1P/2PQ2P1/R5K1 b - - 8 17	f5d3	117	68	6	runA150.pgn
3q3r/r4kp1/p1pn1p2/P2p4/3P3p/1PNQ1R1P/2P3P1/R5K1 b - - 0 18	g7g6	98	52	6	runA150.pgn
3q3r/r4k2/p1pn1pp1/P2p4/3P3p/1P1Q1R1P/2P3P1/R2N2K1 b - - 1 19	f7g7	102	60	6	runA150.pgn
2q1r3/r5k1/p1p2pp1/P2p4/1P1Pn1Np/2P2R1P/2Q3P1/R5K1 b - - 2 24	e8e6	139	56	4	runA150.pgn
2q5/r5k1/p1p1rpp1/P2p4/1P1Pn1Np/2P2R1P/2Q3P1/4R1K1 b - - 4 25	a7e7	135	56	4	runA150.pgn
2q5/4r1k1/p1p1rpp1/P2p4/1P1Pn1Np/2PQ1R1P/6P1/4R1K1 b - - 6 26	e4g3	136	8	4	runA150.pgn
8/2k1q3/p1p2p2/P2p4/1P1P2QP/2P3P1/2r3N1/6K1 b - - 0 45	c2c3	40	0	2	runA150.pgn
8/2k1q3/p1p2p2/P2p3P/1P1P2Q1/2r3P1/6N1/6K1 b - - 0 46	c3c4	47	0	2	runA150.pgn
4B3/4R3/8/8/2bK2pk/8/7r/8 b - - 3 96	c4a6	57	0	13	runA150.pgn
4B3/6R1/b7/8/3K2pk/8/7r/8 b - - 5 97	h2d2	56	0	13	runA150.pgn
4B3/6R1/b7/8/6pk/4K3/3r4/8 b - - 7 98	d2e2	43	0	13	runA150.pgn
r1bqk2r/ppp2pb1/2nppnp1/7p/3P4/1P3NP1/PBP1PPBP/RN1QK2R w KQkq - 2 4	c2c4	110	57	18	runA150.pgn
r1bq1rk1/ppp2pb1/2nppnp1/7p/2PP4/1P3NP1/PB2PPBP/RN1QK2R w KQ - 1 5	e1g1	115	43	18	runA150.pgn
r1bq1rk1/ppp2pb1/2np1np1/4p2p/2PP4/1P3NP1/PB2PPBP/RN1Q1RK1 w - - 0 6	d4e5	113	43	18	runA150.pgn
6k1/1pp2p2/5np1/4r3/2P5/1P2NPPp/r4P1P/3RR1K1 w - - 0 23	b3b4	82	27	8	runA150.pgn
4r1k1/1pp2p2/5np1/8/1PP5/4NPPp/r4P1P/3RR1K1 w - - 1 24	g1f1	100	28	8	runA150.pgn
4r3/1pp2pk1/5np1/8/1PP5/4NPPp/r4P1P/3RRK2 w - - 3 25	e1e2	94	30	8	runA150.pgn
1r6/4npk1/2p3p1/8/2P5/4NPPp/5P1P/R4K2 w - - 1 32	f3f4	57	0	2	runA150.pgn
1r6/5pk1/2p3p1/5n2/2P2P2/4N1Pp/5P1P/R4K2 w - - 1 33	e3f5	56	0	2	runA150.pgn
r2qkb1r/3b3p/ppnp2p1/2p1p3/1PP1N3/PQ2P3/1B1PBP1P/R3K2R b KQkq - 0 14	f8e7	-144	-64	5	runA150.pgn
r2qk2r/3bb2p/ppnp2p1/2p1p3/1PP1N2P/PQ2P3/1B1PBP2/R3K2R b KQkq - 0 15	e8g8	-151	-80	5	runA150.pgn
r2q1rk1/3bb2p/ppnp2p1/2p1p3/1PP1N2P/P2QP3/1B1PBP2/R3K2R b KQ - 2 16	d7e6	-128	-76	5	runA150.pgn
r5k1/1b4pp/1p2p3/p4p2/2P1pq2/PP6/1B2Q1PP/3R3K w - - 0 23	d1d7	111	0	3	runA150.pgn
r5k1/3R2pp/1pb1p3/p4p2/2P1pq2/PP6/1B2Q1PP/7K w - - 2 24	d7g7	44	0	3	runA150.pgn
r4k2/6Rp/1pb1p3/p4p2/2P1pq2/PP6/1B2Q1PP/7K w - - 1 25	g7h7	73	0	3	runA150.pgn
rnbqk2r/pp2ppbp/2p2np1/8/2pP3N/1P4P1/P3PPBP/RNBQ1RK1 w kq - 0 5	b3c4	86	39	25	runA150.pgn
rnbqk2r/pp2ppbp/5np1/2p5/2PP3N/6P1/P3PPBP/RNBQ1RK1 w kq - 0 6	e2e3	103	36	25	runA150.pgn
rnbq1rk1/pp2ppbp/5np1/2p5/2PP3N/4P1P1/P4PBP/RNBQ1RK1 w - - 1 7	c1b2	102	38	25	runA150.pgn
5r2/1p4pk/1Bp1qpnp/pPP1r1n1/P2RP3/2NR3P/6PK/3Q4 w - - 6 39	b6a5	57	1	2	runA150.pgn
5r2/1p4pk/2p1q1np/BPP1rpn1/P2RP3/2NR3P/6PK/3Q4 w - - 0 40	d4d6	63	0	2	runA150.pgn
r3k2r/1pqn1pp1/2p2n1p/p1b1p1B1/2N1P2P/P5PB/1PP1QP2/2KR3R b kq - 1 12	b7b5	-149	-88	3	runA150.pgn
r3k2r/2qn1pp1/2p2n1p/ppb1p1B1/4P2P/P3N1PB/1PP1QP2/2KR3R b kq - 1 13	a5a4	-157	-99	3	runA150.pgn
r3k2r/2qn1pp1/2p2n1p/1pb1p1B1/p3P2P/P3NQPB/1PP2P2/2KR3R b kq - 1 14	b5b4	-177	-105	3	runA150.pgn
rn2kbnr/1bqp1ppp/p3p3/1pp5/4PPP1/P1NPB3/1PP3BP/R2Q1KNR w kq - 6 6	f1e1	25	-21	4	runA150.pgn
r3kbnr/1bqp1ppp/p1n1p3/1pp5/4PPP1/P1NPB3/1PP3BP/R2QK1NR w kq - 8 7	g1e2	15	-33	4	runA150.pgn
r3kbnr/1bqp1pp1/p1n1p2p/1pp5/4PPP1/P1NPB3/1PP1N1BP/R2QK2R w kq - 0 8	h2h3	14	-32	4	runA150.pgn
3r4/p4k2/3n2p1/2pP1p2/prPnp2P/3P2B1/KP1R3P/4R2B w - - 2 30	g3d6	120	37	3	runA150.pgn
8/p4k2/3r2p1/2pP1p2/prPnp2P/3P4/KP1R3P/4R2B w - - 0 31	d3e4	153	31	3	runA150.pgn
8/p4k2/3r2p1/2pP1p2/p1rnP2P/8/KP1R3P/4R2B w - - 0 32	h4h5	144	19	3	runA150.pgn
8/p3P1R1/1r1n1k2/2pP1p1p/2r5/P7/K6P/4R2B w - - 1 40	g7g2	119	15	2	runA150.pgn
8/p3Pk2/1r1n4/2pP1p1p/2r5/P7/K5RP/4R2B w - - 3 41	e1e6	59	15	2	runA150.pgn
r2qr1k1/5pp1/1pp2nbp/1B1p4/1n1P2P1/1P2PP2/P2BN1P1/R2Q1RK1 b - - 1 16	d8e7	-108	-52	9	runA150.pgn
r3r1k1/4qpp1/1pp2nbp/1B1p4/1B1P2P1/1P2PP2/P3N1P1/R2Q1RK1 b - - 0 17	e7e3	-102	-52	9	runA150.pgn
r3r1k1/5pp1/1pp2nbp/1B1p4/1B1P2P1/1P2qP2/P3NRP1/R2Q2K1 b - - 1 18	c6b5	-131	-47	9	runA150.pgn
rn1qkb1r/1bpppppp/1p6/p5N1/3P3P/3B4/PPP2PP1/R1BQK2R b KQkq - 3 5	e7e6	-82	-28	4	runA150.pgn
rn1qkb1r/1bpp1ppN/1p2p3/p7/3P3P/3B4/PPP2PP1/R1BQK2R b KQkq - 0 6	d8e7	-130	-25	4	runA150.pgn
rn2kb1r/1bppqppN/1p2p3/p5B1/3P3P/3B4/PPP2PP1/R2QK2R b KQkq - 2 7	e7b4	-82	-34	4	runA150.pgn
2r2rk1/ppq2p1p/3b1pp1/3Q4/P7/NP2P1P1/5P1P/R4RK1 b - - 2 13	d6a3	120	43	8	runA150.pgn
2r2rk1/ppq2p1p/5pp1/3Q4/P7/RP2P1P1/5P1P/5RK1 b - - 0 14	c7e7	118	42	8	runA150.pgn
2r2rk1/pp2qp1p/5pp1/3Q4/P7/1P2P1P1/5P1P/R4RK1 b - - 2 15	f8d8	114	37	8	runA150.pgn
8/5pk1/4p1pp/1Q6/1P1q4/P5PP/3r1P2/5RK1 w - - 3 31	b5c5	61	-4	3	runA150.pgn
8/5pk1/4p1pp/2q5/1P6/P5PP/3r1P2/5RK1 w - - 0 32	b4c5	45	-8	3	runA150.pgn
8/5pk1/4p1pp/2P5/8/P5PP/r4P2/5RK1 w - - 1 33	f1c1	31	-14	3	runA150.pgn
r1bq1rk1/p3ppbp/5np1/1B1p4/1P1P4/4P3/1BP2PPP/R2QK1NR b KQ - 0 8	d8b6	100	49	2	runA150.pgn
r1b2rk1/p3ppbp/1q3np1/RB1p4/1P1P4/4P3/1BP2PPP/3QK1NR b K - 2 9	c8d7	105	38	2	runA150.pgn
8/5p1p/1n2k1p1/p2pN3/3P4/2K5/2P2PPP/8 b - - 3 28	f7f6	76	25	7	runA150.pgn
8/7p/1nN1kpp1/p2p4/3P4/2K5/2P2PPP/8 b - - 1 29	b6c4	61	15	7	runA150.pgn
8/7p/2N1kpp1/p2p4/2nP4/1K6/2P2PPP/8 b - - 3 30	e6d7	57	1	7	runA150.pgn
2kr2r1/1pN2p2/2n1b2p/3q2b1/P2PpBnN/2P5/2Q1BPP1/R3K2R b KQ - 0 15	d5a5	193	78	5	runA150.pgn
2kr2r1/1p3p2/2n1N2p/q5b1/P2PpBnN/2P5/2Q1BPP1/R3K2R b KQ - 0 16	f7e6	141	68	5	runA150.pgn
2kr2r1/1p6/2n1p2p/q5b1/P2PpBnN/2P5/2Q1BPP1/R4RK1 b - - 1 17	g5f4	120	43	5	runA150.pgn
2k2rr1/1p6/2n1p2p/P2Q4/3P1bnN/2P3P1/4BP2/R4RK1 b - - 0 21	e6d5	85	24	3	runA150.pgn
2k2rr1/1p6/P1n4p/3p4/3P1bnN/2P3P1/4BP2/R4RK1 b - - 0 22	c8c7	86	22	3	runA150.pgn
5rr1/1pk5/P1n4p/3p4/3P1bBN/2P3P1/5P2/R4RK1 b - - 0 23	g8g4	81	15	3	runA150.pgn
3b4/1p6/2b4k/6p1/2P1PpPp/2NP3P/5R2/r4BK1 w - - 0 44	d3d4	-100	-56	4	runA150.pgn
8/1p6/1bb4k/6p1/2PPPpPp/2N4P/5R2/r4BK1 w - - 1 45	f2d2	-145	-57	4	runA150.pgn
8/1p6/2b4k/b5p1/2PPPpPp/2N4P/3R4/r4BK1 w - - 3 46	d2d3	-119	-45	4	runA150.pgn
8/1p6/2b4k/b2N2p1/r2PPpPp/R6P/8/5BK1 w - - 2 49	a3a4	-90	-23	2	runA150.pgn
8/1p6/7k/b2N2p1/b2PPpPp/7P/8/5BK1 w - - 0 50	e4e5	-74	-28	2	runA150.pgn
3b1k2/1p6/2b1P3/3N2p1/3P1pPp/7P/5KB1/8 w - - 5 54	g2e4	-80	-25	8	runA150.pgn
3b1k2/8/2b1P3/1p1N2p1/3PBpPp/7P/5K2/8 w - - 0 55	f2f3	-93	-18	8	runA150.pgn
5k2/4b3/2b1P3/1p1N2p1/3PBpPp/5K1P/8/8 w - - 2 56	d5f6	-90	-6	8	runA150.pgn
r4r2/1p2q1pk/3p3p/2n2p2/p1BBbP2/P3P2P/1PR1Q1P1/3R2K1 w - - 3 24	d4c5	88	23	2	runA150.pgn
r4r2/1p2q1pk/7p/2p2p2/p1B1bP2/P3P2P/1PR1Q1P1/3R2K1 w - - 0 25	c2d2	59	9	2	runA150.pgn
b1rqr1k1/4b1pp/1p2p2P/p3Pp2/2PPn3/P2BN1P1/1B6/2RQR1K1 w - f6 0 22	e5f6	98	12	4	runA150.pgn
b1rqr1k1/6pp/1p2pb1P/p7/2PPn3/P2BN1P1/1B6/2RQR1K1 w - - 0 23	d3e4	64	9	4	runA150.pgn
2rqr1k1/6pp/1p2pb1P/p7/2PPb3/P3N1P1/1B6/2RQR1K1 w - - 0 24	e3g4	63	11	4	runA150.pgn
2rr2k1/1p3pb1/2n3pp/p1P2q1n/P1BP4/1PP2P2/1B1p1RN1/R2Q2K1 b - - 7 20	f5h3	141	36	2	runA150.pgn
2rr2k1/1p3pb1/2n3pp/p1P4n/P1BP4/1PP2P1q/1B1R2N1/R2Q2K1 b - - 0 21	h5g3	133	26	2	runA150.pgn
2rr2k1/1p3pb1/2n3pp/p1P2n2/P1BP1P2/1PP5/1B1R1KNq/R2Q4 b - - 0 25	d8e8	122	0	3	runA150.pgn
2r1r1k1/1p3pb1/2n3pp/p1P2n2/P1BP1P2/1PP5/1B1R1KNq/R5Q1 b - - 2 26	h2g3	109	0	3	runA150.pgn
2r1r1k1/1p3pb1/2n3pp/p1P2n2/P1BP1P2/1PP3q1/1B1R2N1/R4KQ1 b - - 4 27	g3h3	70	0	3	runA150.pgn
1rbqr1k1/ppp2pbn/3p3p/4Pn1P/1PP3p1/PN2P3/1BQ1BPP1/R2NK2R b KQ - 0 14	d6e5	69	21	2	runA150.pgn
1rbqr1k1/ppp2pbn/7p/4pn1P/1PP3p1/PN1BP3/1BQ2PP1/R2NK2R b KQ - 1 15	e5e4	87	13	2	runA150.pgn
1rb1r3/p1p2pk1/1p5p/1P1P3q/6p1/P3PNP1/2Q2PB1/R4RK1 b - - 0 26	g4f3	-86	-25	4	runA150.pgn
1rb1r3/p1p2pk1/1p5p/1P1P3q/8/P1Q1PpP1/5PB1/R4RK1 b - - 1 27	g7g8	-74	-28	4	runA150.pgn
1rb1r1k1/p1p2p2/1p5p/1P1P3q/8/P1Q1PpP1/5P2/R4RKB b - - 3 28	h5d5	-89	-30	4	runA150.pgn
1r1q2rk/p1n1pb1p/2np4/Ppp1bpB1/2P2N1P/3P1N2/3Q1PP1/1R1BR1K1 w - b6 0 17	a5b6	121	59	4	runA150.pgn
3q2rk/p1n1pb1p/1rnp4/2p1bpB1/2P2N1P/3P1N2/3Q1PP1/1R1BR1K1 w - - 0 18	d1a4	176	54	4	runA150.pgn
3q2rk/p1n1pb1p/1r1p4/2p1bpB1/B1Pn1N1P/3P1N2/3Q1PP1/1R2R1K1 w - - 2 19	f3d4	202	50	4	runA150.pgn
6rk/2n1pb2/1pBp1q1p/5pN1/2Pp1P1P/3P4/3Q2P1/4R1K1 w - - 0 26	d2b4	142	53	2	runA150.pgn
6rk/2n1pb2/1pBp1q2/5pp1/1QPp1P1P/3P4/6P1/4R1K1 w - - 0 27	h4g5	104	49	2	runA150.pgn
4q3/6k1/3R4/6P1/2P1PP2/5rK1/6P1/8 w - - 0 42	g2f3	62	0	3	runA150.pgn
2q5/6k1/3R4/6P1/2P1PP2/5PK1/8/8 w - - 1 43	f4f5	72	0	3	runA150.pgn
8/2q3k1/3R4/5PP1/2P1P3/5PK1/8/8 w - - 1 44	c4c5	40	0	3	runA150.pgn
r2qk2r/1bpp1pp1/1p3n1p/p1b1p3/2P1P3/P2P2P1/1P1BNPBP/R2Q1RK1 b kq - 0 7	e8g8	-127	-48	2	runA150.pgn
r2q1rk1/1bpp1pp1/1p3n1p/p1b1p3/1PP1P3/P2P2P1/3BNPBP/R2Q1RK1 b - - 0 8	c5e7	-121	-77	2	runA150.pgn
8/1b1Nr1k1/5bp1/p4r2/PpB1pP1p/1P2K2P/5RP1/3R4 b - - 17 37	f6c3	-85	-30	12	runA150.pgn
8/1b1Nr1k1/3R2p1/p4r2/PpB1pP1p/1Pb1K2P/5RP1/8 b - - 19 38	b7c8	-94	-28	12	runA150.pgn
2b5/4r1k1/1N1R2p1/p4r2/PpB1pP1p/1Pb1K2P/5RP1/8 b - - 21 39	c8b7	-75	-28	12	runA150.pgn
8/6k1/8/6P1/6KP/1B6/8/4b3 b - - 2 71	g7f8	-82	-22	47	runA150.pgn
5k2/8/8/3B2P1/6KP/8/8/4b3 b - - 4 72	e1f2	-81	-19	47	runA150.pgn
5k2/8/8/3B2PP/6K1/8/5b2/8 b - - 0 73	f2e3	-115	-23	47	runA150.pgn
r2qr1k1/1p3p1p/2n1bbp1/4p1B1/p2pP2P/P2P1N2/1P1QBPP1/2R2RK1 w - - 0 14	c1c5	113	54	36	runA150.pgn
r2qr1k1/1p1b1p1p/2n2bp1/2R1p1B1/p2pP2P/P2P1N2/1P1QBPP1/5RK1 w - - 2 15	f1c1	118	75	36	runA150.pgn
r2qr1k1/1p1b1p2/2n2bp1/2R1p1Bp/p2pP2P/P2P1N2/1P1QBPP1/2R3K1 w - - 0 16	e2d1	143	95	36	runA150.pgn
8/8/6k1/6Pp/4PR1K/6P1/4r3/8 w - - 7 54	g3g4	139	0	4	runA150.pgn
8/8/6k1/6P1/4PRpK/8/4r3/8 w - - 0 55	h4g4	141	0	4	runA150.pgn
8/8/6k1/6P1/4PRK1/8/6r1/8 w - - 1 56	g4f3	136	0	4	runA150.pgn
r3k1nr/1ppq4/p3pp2/2Pp1bp1/1P1P3p/P1N1P2P/5PP1/R2QKB1R w KQkq - 0 12	f1e2	84	39	2	runA150.pgn
r3k1nr/1p1q4/p1p1pp2/2Pp1bp1/1P1P3p/P1N1P2P/4BPP1/R2QK2R w KQkq - 0 13	a3a4	68	23	2	runA150.pgn
b4r1k/3nq1r1/2ppp3/Q4ppp/N1PPn3/P3P3/4BPPP/1R1RN1K1 b - - 0 21	g5g4	39	-17	3	runA150.pgn
b4r1k/3nq1r1/2ppp3/Q1P2p1p/N2Pn1p1/P3P3/4BPPP/1R1RN1K1 b - - 0 22	h5h4	105	-7	3	runA150.pgn
b4r1k/3nq1r1/2pPp3/Q4p2/N2Pn1pp/P3P3/4BPPP/1R1RN1K1 b - - 0 23	e7g5	49	-1	3	runA150.pgn
b4r1k/3n2r1/3Pp3/Q1p2pq1/N2PB1pp/P3P3/5PPP/1R1RN1K1 b - - 0 25	f5e4	108	41	3	runA150.pgn
b4r1k/3n2r1/3Pp3/Q1p3q1/N2Pp1pp/P3P3/2N2PPP/1R1R2K1 b - - 1 26	g4g3	102	26	3	runA150.pgn
b4r1k/3n2r1/3Pp3/Q1p3q1/N2Pp2p/P3P1P1/2N3PP/1R1R2K1 b - - 0 27	h4g3	88	26	3	runA150.pgn
1r2r1k1/pp4bp/4b1p1/q3ppB1/P7/2P1QB2/1P3PPP/R2R2K1 w - - 0 18	d1d6	139	57	16	runA150.pgn
1r2r1k1/pp4bp/3Rb1p1/q3p1B1/P4p2/2P1QB2/1P3PPP/R5K1 w - - 0 19	e3e4	129	61	16	runA150.pgn
1r2r1k1/ppq3bp/3Rb1p1/4p1B1/P3Qp2/2P2B2/1P3PPP/R5K1 w - - 2 20	d6e6	121	47	16	runA150.pgn
3r3k/p4qb1/5r1p/1pB1p3/1P5Q/2P5/2B2PP1/2R3K1 w - - 7 35	g2g3	95	27	2	runA150.pgn
3r3k/p5b1/5r1p/1pB1p3/1Pq4Q/2P3P1/2B2P2/2R3K1 w - - 1 36	h4h5	76	3	2	runA150.pgn
r1bqkb1r/1pp2p2/P4npp/3ppn2/P1P5/N2P2P1/4PPBP/1RBQK1NR b Kkq - 0 7	a8a6	72	11	2	runA150.pgn
2bqkb1r/1pp2p2/r4npp/3Ppn2/P7/N2P2P1/4PPBP/1RBQK1NR b Kk - 0 8	f6d5	76	0	2	runA150.pgn
r3r1k1/1b1qbp1p/pp1p1np1/2pP4/P1P2B2/1B3N2/1P1Q1PPP/R3R1K1 w - - 2 14	f4g5	117	49	3	runA150.pgn
r3r1k1/1b1qbp1p/pp1p2p1/2pP2Bn/P1P5/1B3N2/1P1Q1PPP/R3R1K1 w - - 4 15	h2h4	91	27	3	runA150.pgn
r3r1k1/1b1q1p1p/pp1p2p1/2pP2bn/P1P4P/1B3N2/1P1Q1PP1/R3R1K1 w - - 0 16	h4g5	134	19	3	runA150.pgn
2b1qr1k/3pb1pp/p1n5/2pBB3/2P1N2N/P3P2P/3P1P2/1Q2K2R b K - 0 15	c6e5	-198	-124	7	runA150.pgn
