engine	set	fen	static	v4	v6	v8	v10	v12	v14
coda	blind	q7/1r3ppk/2p2n2/2Pp1P2/3P1BnP/p2BP2K/2Q4P/R7 w - - 8 48	-15	-197	-106	-196	-35	-24	0
coda	blind	1r3rk1/2p2ppp/1q1pP3/2nP4/p2Q4/R5PB/5P1P/3R2K1 w - - 5 22	10	-31	-76	-84	-7	-25	-72
coda	blind	6k1/3rb2p/1pr2p2/3p1R2/3P1B1P/P5P1/6K1/4R3 w - - 2 28	52	81	30	23	41	62	47
coda	blind	8/4q1k1/3p4/2p2Q2/P5N1/8/4n2K/8 b - - 2 58	107	139	175	112	68	76	57
coda	blind	r1bqkb1r/1pp1n3/p1n5/3pNppp/3P4/2N1P2P/PPP2PB1/R1BQ1RK1 w kq - 0 7	131	66	-29	0	27	67	101
coda	blind	2r5/3qnpbk/p1rp3p/1p2pp1Q/1P2P3/P2P2PP/1B4B1/1R3R1K b - - 2 19	12	31	105	-33	0	44	52
coda	blind	r1bq1rk1/p4pbp/np2pnp1/2ppN2P/3P4/2P1B1P1/PP2PPB1/RN1QK2R b KQ - 0 6	-78	87	78	18	-63	-96	-92
coda	blind	r2qkb1r/p1p1ppp1/2p1bn2/8/5P1p/2pBPN2/P1PP2PP/1RBQK2R w Kkq - 0 6	81	81	78	98	124	85	120
coda	blind	r4rk1/3q1pp1/2p1pn2/p1R5/2Q2P1p/2PPPN1P/6P1/5RK1 w - - 0 18	205	174	200	193	123	113	151
coda	blind	r3kb1r/1p1n1ppb/pqpp1n1p/P3p2P/4P1P1/2NP4/1PP1QPBN/R1B1K2R b KQkq - 0 9	-69	-168	-134	-108	-140	-88	-97
coda	blind	r4k2/1b1nbp2/1p1np1p1/1P1p2P1/3P1P2/4P3/1BRN1N2/5BK1 w - - 9 42	22	13	23	68	87	89	90
coda	blind	1rbqk2r/ppn1ppbp/3p1np1/2p5/P3PP2/2PP1NP1/1P4BP/RNBQK2R w KQk - 1 5	113	93	95	76	81	85	87
coda	blind	3q2k1/p1r3p1/1p5p/5Bb1/Pn1P4/2B2N2/1P4PP/RN1K3R b - - 0 23	-330	27	-188	22	-203	-202	-250
coda	blind	3r1k2/5pp1/1p6/3p3p/2nP4/4P1NP/5PP1/R4K2 w - - 2 31	150	373	38	99	101	91	121
coda	blind	r4rk1/pb1n1pp1/1p1Pp2p/2pn3q/8/3B1NB1/PPP2PPP/R2Q1RK1 w - - 10 15	144	549	122	115	112	111	134
coda	blind	r2r2k1/pb3pp1/1p1Ppn1p/2q5/4n3/3BN1B1/PPP2PPP/R2QR1K1 w - - 3 23	159	188	220	159	139	122	141
coda	blind	2rqk2r/pp4pp/3bpn2/1QpbNp2/3P4/P3PP2/1P2N1PP/R1B2RK1 b k - 5 12	79	-36	-25	12	45	41	38
coda	blind	4R3/1r6/8/5k2/2K2n2/8/8/8 b - - 81 112	9	28	25	20	21	23	17
coda	blind	1rq1r1k1/5p2/p2bB2p/2p3p1/PpP5/1Q4P1/1P1RPP1P/3R2K1 b - - 0 18	-535	-63	-52	-130	-106	-84	-98
coda	blind	4rr2/1b1q3k/1Bp3pp/1p1pRBn1/1PP5/2NP2P1/5P1P/2RQ2K1 b - - 0 21	-139	8	-61	5	-102	-140	-27
coda	blind	7k/6p1/7p/3p4/1R6/5N2/4r1KP/8 w - - 2 33	114	78	91	99	94	96	107
coda	blind	r1bqk2r/ppppnpb1/n3p1pp/8/2PP4/2N1PN2/PP2BPPP/R1BQK2R b KQkq - 4 3	-210	-129	-121	-103	-92	-70	-90
coda	blind	3r4/3kb1B1/3p2p1/P1pP2pp/2b1N3/5P1P/6P1/3R2K1 w - - 0 35	36	-17	-47	76	74	71	-31
coda	blind	2b3r1/2q1bpk1/2p1p2p/r2p2p1/P1PQ4/4N1P1/1P3PBP/1R2R1K1 b - - 2 18	90	64	56	100	54	29	29
coda	blind	2br4/r1q2pk1/3bp2p/2p3p1/PPPp4/3N2P1/3Q1PBP/1R2R1K1 b - - 0 28	-121	129	96	75	54	100	75
coda	blind	2br4/2q2p1k/3bp2p/2p5/1PPp3Q/r2N2P1/5PB1/1R2R1K1 b - - 0 32	-122	77	-76	57	0	60	46
coda	blind	2b2k2/5p2/4pb1p/2q1N3/5P2/6P1/6BK/3Q4 b - - 5 44	75	60	79	38	76	40	48
coda	blind	1k1q3r/1bpn4/1p5n/pP1Np2Q/2P1P3/6P1/P4PK1/R6R b - - 3 21	227	26	110	83	58	69	0
coda	blind	8/k1p5/1p6/pP2p2q/4P1R1/6P1/P7/3Qn1K1 b - - 5 34	-121	-141	-332	-237	-335	-272	-162
coda	blind	2r3k1/p3qp2/1p2r1pp/3Q1n2/PP4N1/2P4P/5PP1/R2R2K1 w - - 1 26	82	47	66	47	70	90	62
coda	blind	2rr2k1/5pp1/1q2b2p/p2n4/8/1PR1PN1P/PQ2B1P1/2R3K1 w - - 3 24	-178	17	23	33	11	35	63
coda	blind	r2qkb1r/pp3ppp/2pp1n2/3P1b2/PnP1p3/N3P3/1P1NBPPP/R1BQK2R b KQkq - 0 5	117	89	94	90	83	126	100
coda	blind	r1r3k1/1p1qbppp/3p1n2/p2P4/Pn2p3/1QN1P3/1P1N1PPP/R1B2RK1 b - - 3 12	115	241	208	167	138	168	136
coda	blind	r3k2r/pp1qbpp1/2n2n2/3pp2p/2P4P/1P1QP1N1/PB3PP1/RN3RK1 b kq - 0 10	128	105	135	122	81	76	81
coda	blind	r5k1/5p1p/5n2/P2p2p1/3P4/6nP/P5B1/R1B3K1 w - - 0 27	128	76	73	78	60	87	113
coda	blind	r7/1k3p2/8/2BK3p/8/8/8/2R5 w - - 4 67	55	139	89	70	84	69	62
coda	blind	rn3k1r/1pbb1pp1/p2Np3/2P5/5Pp1/6Pq/PPQ1B2P/R2R1NK1 b - f3 0 16	-77	99	-69	-45	-16	-69	-84
coda	blind	1r1qr1k1/1p1n1pp1/p6p/3P4/P1PNp3/7P/1Q3PP1/R1R3K1 w - - 2 24	65	17	44	20	34	6	35
coda	blind	r1b1kb1r/2qn1pp1/2pp1n1p/p3p3/N2PP2P/1P3NP1/1BP1QP2/2KR1B1R b kq - 0 8	-39	-91	-90	-97	-18	-63	-126
coda	blind	r2qk2r/1p5p/p1b1pbp1/2Pp1n2/P2N1P2/1PP5/6PP/RNBQK2R w KQkq - 2 10	72	130	220	112	90	138	105
coda	blind	8/2nB4/1p4k1/p1p2p1p/P4P1P/1P4P1/1K6/8 w - - 54 66	96	109	166	166	165	154	196
coda	blind	8/2n3k1/1pB5/p1p2p1p/P4P1P/1P4P1/2K5/8 w - - 76 77	58	132	194	142	109	104	86
coda	blind	r1b1r1k1/ppq1bppp/3p4/2npPB2/3N1P2/4B3/PPP1Q1PP/R4R1K b - - 2 11	-90	66	50	27	-4	2	-6
coda	blind	r4rk1/pb1p2pp/np6/2pq4/P3P3/2P2N1P/4QPP1/R1B1R1K1 b - - 0 14	-91	-236	-138	-62	-60	-75	-79
coda	blind	r1bqkb1r/pp2np1p/2p2np1/3P4/3Pp3/P1N1P3/1PQN1PPP/R1B1KB1R b KQkq - 0 6	-151	77	40	46	97	88	87
coda	blind	r4k2/pp2Q3/1nn1pbp1/3pp1P1/4bP1N/2N5/PP1B4/R3KB2 b Q - 0 22	11	79	100	127	142	157	70
coda	blind	8/8/8/8/2k5/8/R2br3/1K6 b - - 69 118	22	49	54	62	59	56	57
coda	blind	r1bq1rk1/p2pbppp/np6/2pp4/P3PPn1/1P3N2/2P1B1PP/RNBQ1RK1 w - - 0 6	-8	114	57	65	84	120	120
coda	blind	3Q4/5pk1/p1p5/1q5p/5bpP/4R1P1/6RK/3r4 w - - 0 59	-265	-55	16	-43	-12	-49	-45
coda	blind	4r1k1/2pq1p2/1p4pb/p2n4/P5bP/1QP2NP1/1P3PB1/3R2K1 b - - 1 19	369	72	-14	9	-9	0	0
coda	blind	4r1k1/2p2pp1/p4n1p/3PP3/5p2/P1Q2BqP/3NR3/5K2 b - - 2 42	-413	-35	15	-163	-271	-188	-142
coda	blind	r5k1/1p4p1/8/3pB3/p2P2P1/3B3p/1P3r2/2KR4 w - - 0 27	-194	30	-384	-337	-227	-212	-138
coda	blind	rnbq1rk1/p3bppp/4pn2/2pPN3/8/6P1/P2PPPBP/RNBQK2R b KQ - 0 5	-59	149	42	63	4	-3	14
coda	blind	6k1/2r5/5p1p/R1p5/2r1pPK1/4P2P/8/4R3 b - - 1 45	0	51	6	35	-3	4	-18
coda	blind	6k1/5pb1/3p1np1/4p1Bp/1q2P3/2NP3P/2Q2PP1/6K1 w - - 7 28	86	48	394	65	64	81	72
coda	blind	r2q2k1/pp3pp1/2bbr2p/3p4/3Bn3/1PPB1N1P/P1Q2PP1/R3R1K1 w - - 10 14	55	124	95	66	76	14	31
coda	blind	r5k1/ppb2pp1/2bqr2p/3p4/3Bn3/1PPB1N1P/P1Q1RPP1/4R1K1 w - - 16 17	29	131	9	39	115	69	49
coda	blind	3r2k1/ppb2pp1/2bqr2p/4N1n1/2QB4/1P1B3P/P3RPP1/4R1K1 w - - 1 20	-221	132	189	121	69	43	87
coda	blind	2krr3/pp3Q2/2n3p1/4q3/7p/1P5P/P4PP1/R4RKN b - - 1 19	16	27	56	22	9	-16	-7
coda	blind	3r4/kp6/p3R1p1/4Q3/3q1P1p/1P4nP/P4NP1/6K1 b - - 8 30	31	35	123	136	0	0	0
coda	blind	r2r2k1/1qp1b1p1/3pp2p/p4p2/Pn1PPBQP/2N3P1/1P3PK1/R1R5 w - - 0 20	-44	141	395	53	23	68	50
coda	blind	rnbqk1nr/2p2pp1/1p1pp2p/p7/3N4/P2PP2P/P1PB1PP1/R2QKB1R b KQkq - 1 4	72	70	53	37	58	71	38
coda	blind	3q1r2/r3n1pk/bpp1p2p/p1n2P1B/2Pp1P2/P2P2QP/P2B1NP1/1R2R1K1 b - - 0 19	-179	-53	86	59	54	55	39
coda	blind	rnbq1rk1/1pp1ppbp/3p1np1/8/3PPB2/pPN2N2/P1PQ1PPP/R3KB1R w KQ - 3 5	123	100	101	98	70	55	45
coda	blind	2r2k2/4p1bp/b4np1/2B1p3/7P/pPN3P1/P2N1P2/3KR3 w - - 1 28	-42	-21	39	79	93	63	83
coda	blind	r2r2k1/ppbn1pp1/q6p/P1pBp2n/4P2N/2P2Q1P/5PP1/2BR1RK1 b - - 5 22	-441	1	-51	-60	-48	-44	-42
coda	blind	4R3/8/5p2/5k2/1n3P2/2r3PP/6K1/8 b - - 42 53	229	260	157	192	184	162	156
coda	blind	q4rk1/3b2b1/1p1p1npp/2pPpn2/2P5/2N2NPP/1P3PB1/2BQR1K1 w - - 0 13	140	208	121	84	71	81	95
coda	blind	1k1r1b1r/ppq5/2n1bp2/2pnp1pp/4N3/P2PPPP1/1P1BQNBP/1R3RK1 b - - 2 12	253	245	195	168	170	124	108
coda	blind	b2r1r2/3n2pk/1p2pq1p/pQ1n1p2/N2N4/P3P2P/1P3PP1/2RR1BK1 b - - 11 19	-100	-98	-142	-88	-55	-60	-114
coda	blind	r1r3k1/pq3pp1/1p1Bb2p/3nP3/P1B4P/3Qp1P1/P4P1K/1RR5 b - - 1 26	132	177	139	130	130	72	80
coda	blind	5k2/1R6/1p6/1B3pp1/P7/6P1/br6/4K3 b - - 21 56	76	27	58	28	60	84	39
coda	blind	r2q1rk1/1p1b2b1/2np3p/pNp2pp1/PnP5/2BP2P1/1PN1P1BP/R1Q2RK1 b - - 3 15	80	103	116	41	39	49	60
coda	blind	r1bqk1nr/1ppp1ppp/p1n2b2/8/3NP3/5B2/PPP2PPP/RNBQK2R w KQkq - 1 3	111	98	105	93	109	106	108
coda	blind	8/2p2ppk/2Rb3p/5P2/1rP3K1/8/8/2R5 w - - 3 36	24	-30	47	-31	-37	-68	-59
coda	blind	1r1qkbnr/2pp2pp/b3p3/3n1p2/3P4/1P6/PB1NPPPP/R2QKBNR w KQk - 2 6	88	53	101	74	69	58	74
coda	blind	2rnr1k1/p2qb1pp/1pb1pp2/3p1n2/2PP3P/PP3NPB/1B1NQP2/R3R1K1 w - - 5 14	101	101	98	76	86	40	75
coda	blind	2br1r1k/3q4/1p5p/p1p1b1pP/P2pBn1N/3P4/1P1B1PPQ/2R1R1K1 w - - 2 27	100	24	57	60	47	47	65
coda	blind	r3k2r/1bpqbn1p/pp2p1p1/4Pp2/PnBP4/2N1BN2/1PP1Q1PP/R4RK1 w kq - 4 11	119	190	85	42	93	55	75
coda	blind	rn1qkb1r/1ppbp1pp/p2p1n2/5p2/P2P4/NP3NP1/2P1PP1P/R1BQKB1R b KQkq - 0 2	-80	-21	-41	-55	-53	-20	-22
coda	blind	r3rbk1/2n2pp1/2bpq2p/1p6/1PpNP3/6PP/2Q1PPBK/BR1R4 b - - 4 33	-160	-46	-47	-70	-72	-72	-81
coda	blind	r2q1rk1/2p1bppp/np2p3/pN1p1n2/P4P2/1PP1PN2/2QP2PP/R1B1K2R b KQ - 1 7	103	111	124	119	83	100	93
coda	blind	2r3k1/3q1pp1/1p1rp2p/pR3P2/P1pNn3/2P1P3/Q2P2PP/5RK1 b - - 0 23	135	129	140	105	72	43	59
coda	blind	r1b1k2r/pp2b1pp/2n1pn2/1Bpp1p2/3P1BP1/2q1PN1P/P1PN1P2/1R1QK2R w Kkq - 2 8	48	58	142	134	161	172	190
coda	blind	3r2k1/1pp2pp1/2nqb2p/pr6/3pPP2/1P1P2PP/P4QB1/B1R1R1K1 b - - 2 18	-13	29	0	67	75	90	97
coda	blind	r5k1/1p4p1/3qb2p/prp1R3/1n1p1PP1/1P1P3P/P2R1QB1/B5K1 b - - 0 23	14	190	55	37	92	108	84
coda	blind	r1bq1rk1/ppp3bp/3p1np1/4pp2/1nPP4/1PN1P1PP/PB2NPB1/R2QK2R w KQ - 5 7	100	126	108	131	89	88	88
coda	blind	3rqrk1/pb2b1pp/1p2n3/3pN3/1P1P4/P2B1PpP/6P1/R1BQ1RK1 b - - 1 22	6	105	95	49	61	62	76
coda	blind	r3k2r/1bqn2pp/1p1b4/p2Pp3/2p4P/P1P4N/1P1QBPPB/R3K2R b KQkq - 0 12	-94	-150	-138	-105	-49	-90	-54
coda	blind	rn1q1rk1/5pbp/1pp3pn/p2p4/1P3Pb1/2N1PNP1/PB1P2BP/R2Q1RK1 w - - 0 8	-26	-64	-45	35	-12	-1	69
coda	blind	r4rk1/ppp1b1pp/4b1q1/1Pnp1p2/P1PBnP2/4P3/3NB1PP/RN1Q1RK1 w - - 0 12	58	-1	25	29	9	18	31
coda	blind	r5k1/4b2p/8/p1p1Bpp1/P2p4/1P3KP1/4PP1P/3R4 w - - 0 24	0	40	130	132	96	79	84
coda	blind	r2q1rk1/1b2ppbp/n2p1np1/p1p5/1p2PP2/P1PPBB2/1P1N2PP/RN1Q1RK1 b - - 1 8	55	65	67	92	59	59	84
coda	blind	r4r1k/2p3qp/8/P1PP4/8/6nb/3N4/Q1RR2KB w - - 0 41	-559	267	151	320	98	80	112
coda	blind	r1b5/2p3kp/8/P1PP1r2/2N5/8/7K/2R4R w - - 3 45	141	135	95	93	116	86	102
