fen	vstar
r1bq1rk1/pp2bppp/2np1n2/2p1p3/4P3/2PP1NP1/PP3PBP/RNBQ1RK1 w - - 4 4	-6
r1q2k2/pp2np2/6p1/1Q1p2bp/3P4/P1N1P3/1P1B2PP/4R1K1 b - - 1 21	26
8/pp3k2/2n1p3/6b1/4B3/3N2K1/PP1r4/7R b - - 9 33	27
2b5/r5pk/P2p4/3P1r1P/7K/2BR4/6R1/8 w - - 4 42	1
2b1Brk1/p1p3b1/8/1P2pp2/1P5P/2pPP1r1/2P4K/R1B2R2 b - - 1 19	91
8/4kRp1/8/p2p1p1p/P2P1P1P/7K/2r3r1/8 b - - 2 47	0
rn1q1rk1/1ppbbppp/p3pn2/8/P1pP4/5NP1/1PQ1PPBP/RNB2RK1 w - - 1 5	26
1r2r1k1/1ppq1pb1/6pp/p2n4/P5b1/2P2NP1/1PQB1PBP/3RR1K1 b - - 2 15	7
1r2Rk2/5Pp1/p6p/3P4/2Q5/q7/2KN1p2/8 b - - 2 53	0
rnbqkb1r/pp3pp1/2p3n1/3P4/3p3p/2P2NP1/PP1N1P1P/R1BQKB1R w KQkq - 0 6	17
8/6k1/3nr1pR/3p2P1/3P1P2/3Q4/3B3K/q7 w - - 0 56	0
4r1k1/2B2ppp/1p3n2/r1bp4/P1b5/2N1P1P1/5PBP/R1R3K1 b - - 2 17	0
5R2/6r1/8/4k2K/8/7P/8/8 b - - 0 84	-9
rnb1k2r/pp1pqpbp/2p2np1/4p3/2B1P3/P1N4P/1PPP1PP1/R1BQK1NR w KQkq - 3 3	11
2r2nk1/p4p2/1p2b2p/6p1/8/1P1BR2P/PB3PPK/8 w - - 2 34	55
8/1p6/8/1Rn1kP2/6PP/2r5/4K3/8 b - - 6 46	0
rq3rk1/2ppbppp/n3pn2/pN1b2B1/P2P4/5NP1/1P2PPBP/R1RQ2K1 w - - 10 11	-7
8/5n2/B3k3/1p2P1p1/3K2P1/8/8/8 w - - 1 63	0
2K5/5n2/5P2/4n3/k7/8/8/8 b - - 38 143	10000
r1bq1r2/1p1n1pkp/2ppn1p1/p3p3/P2PP3/1NPB1N2/1P1Q1PPP/R3R1K1 b - - 1 12	-31
6k1/8/R7/4pb1N/7P/pP2KP2/8/r7 w - - 2 46	2
8/4kp2/5Rp1/r5P1/6K1/8/8/8 b - - 5 53	0
r5k1/1pp3b1/p1n1bpp1/4p2p/PPN1P3/2P1B1P1/5P1P/1R1r1BK1 w - - 0 18	24
8/8/1p6/1N6/p1K5/4k3/8/8 w - - 2 56	4
3rk2r/p3Pppp/1p6/2p5/Nn3P2/6P1/PP1P2bP/R1B2RK1 b k - 0 13	99
4rk2/2R4B/3p4/3Pb1P1/4p1K1/2p1P3/8/8 w - - 2 37	0
8/1p6/1B6/P4k2/4b3/R7/4r1p1/2K5 b - - 31 87	186
k1rr4/p5Q1/2p5/2P5/1P4p1/P4bNq/5R1P/4R1K1 b - - 12 42	6
6k1/p4r1p/2p3b1/Q5P1/2P3P1/3p2KP/P2Nr3/8 w - - 3 30	0
b4r2/5Qpk/5n1p/5p2/3R4/P3P2P/1P3PP1/5BK1 b - - 0 28	-14
r1r3k1/2qn1pp1/1p2p2p/pP6/2PP1b2/4NN2/R3QPPP/R5K1 w - - 4 22	-10
8/8/4k3/8/4K1R1/8/8/5r2 b - - 0 83	-1
5r1k/8/3p4/p5r1/P1Pp3p/3P1B2/1P2P2P/1R5K b - - 1 34	68
r5k1/2pR1p2/2p3pp/P3Q3/2b1P2P/6PB/4qP2/6K1 w - - 2 29	140
8/1R1N4/4pp2/3n1kp1/4r2p/6P1/5PKP/8 w - - 0 37	-120
4R3/8/3k4/6K1/8/8/r7/8 b - - 5 72	0
rr4k1/2pqbpp1/p1p1p1np/8/1PPP1PP1/3NB2P/R2Q4/5RK1 w - - 5 23	-28
8/5pk1/3Q4/4P1p1/7p/5PqP/6P1/7K b - - 16 48	0
8/3B4/1p3k2/8/2KP2P1/p3b3/P7/8 b - - 8 53	-47
8/8/8/R5p1/5k1p/6rP/6PK/8 w - - 16 47	0
4k3/3p4/brp1pn2/R7/1P1P1pp1/PQ2n1P1/1B1NPP2/4KBq1 w - - 2 23	-189
r1b2rk1/ppq2pbp/n2p1np1/P2Pp3/8/2N2N2/1PP1BPPP/R1BQK2R b KQ - 0 7	0
3n3k/p6p/8/2qp4/P5B1/2b2N1Q/5P1K/8 w - - 0 34	12
3r2bk/8/1pRr2Bp/p5pP/P1P5/3p1P2/3R2P1/6K1 w - - 4 45	0
r3r1k1/p2b1pbp/1p3n1q/P1pP2p1/2P1p1Pn/2N1P2P/3NBP2/BR1Q2KR b - - 0 19	-46
rn1qkbnr/1p2pp2/p1p3pp/3p1b2/2PP4/BPN2NP1/P3PP1P/R2QKB1R b KQkq - 2 3	-55
R7/8/1k3p2/1p3N2/4n1K1/2P3P1/P4r2/8 w - - 5 48	4
8/6kp/3Q2p1/5p2/P6q/1P3R2/4r1P1/7K w - - 0 33	0
1n3r1k/2pbq1pp/p7/3Qbp2/P3n3/NP4P1/2P1PPBP/1RB2K1R b - - 4 11	-83
2rqrbk1/p2n1pp1/3pb2p/np1N4/1Pp1P3/P1Q3PP/3NPPBK/BR3R2 b - - 0 19	-64
r1b1kbnr/ppp2qpp/3pn3/1P2pp2/2P5/2N1P2P/P1QP1PP1/R1B1KBNR w KQkq - 3 6	-1
2k1r2r/p1p1q1p1/Ppb4n/4bp1p/8/2N4P/2QBNPP1/R3KB1R w KQ - 0 18	18
R7/6pk/7p/2pK4/6P1/p1P1PNn1/3P4/r7 b - - 0 40	0
r6k/5R1p/4B1p1/3P3n/8/5P2/5K2/8 w - - 0 44	303
r2qr1k1/1pp2pp1/2n1bn1p/p7/3p4/1P1P1NPP/PB2PPB1/2RQ1RK1 b - - 2 10	27
rn3rk1/4qbbp/2pp1np1/p4p2/1PPNp3/P3P1PP/1BQ1NPB1/R4RK1 w - - 2 16	30
7R/8/3k4/8/5r2/2K5/8/3B4 w - - 23 111	14
8/p1k3p1/1p4P1/1K1B4/PP5b/8/6P1/8 b - - 4 48	0
r2qkb1r/1b1n2pp/1p3p2/p1ppp3/3Pn2P/P1P1P2N/1P2BPPB/RN1QK2R b KQkq - 1 7	-44
6k1/5pb1/1p5p/p1n1PPp1/1p1r2Pn/7P/P2P4/4RRKB w - - 0 25	0
rnbqkbnr/5pp1/pp2p2p/2ppP3/3P4/2PQ4/PP2BPPP/RNB1K1NR b KQkq - 0 3	-49
8/p1k5/3q2p1/3PQ3/5Pp1/6K1/8/8 w - - 5 42	0
r2qk1nr/1b1p1ppp/ppnbp3/2p5/2P1PP2/3P1N2/PP1BB1PP/RN1QK2R w KQkq - 2 4	-20
2rqr1k1/1b1n1ppp/1pp1pn2/p2p4/PbP1P3/1P1P1NPP/1BQN1PB1/2R2RK1 b - - 0 11	24
8/8/8/r5k1/7R/8/5K2/8 w - - 16 65	0
8/r7/8/5pk1/6pp/3N3P/4B1P1/4K3 b - - 45 74	0
r6r/2p1nk2/4b1p1/P3Pp2/1p2pP2/1P2P1P1/2KN1R2/R4B2 b - - 2 27	0
8/8/1p4k1/7R/1r5P/5P2/8/5K2 w - - 1 41	11
8/6k1/2Pp4/8/6p1/6R1/r7/7K w - - 0 57	0
8/8/8/8/Pppk4/7R/1KP5/6r1 b - - 9 55	0
8/8/b1k2p1p/p1p1p2P/P3P3/1PP1KP1B/8/8 w - - 7 37	0
r1bqk2r/pp1nbpp1/2pp1n1p/4p3/4P3/2NP2P1/PPPBQP1P/R3KBNR w KQkq - 2 4	-24
2rq1r1k/6p1/1p2Q2p/p1bN4/5B2/PP4P1/4PnKP/R4R2 b - - 6 19	0
2k5/3b2R1/3P4/1p2B3/p1r5/P3K2p/1P5P/8 w - - 30 93	0
8/3k4/2p5/2P2K2/3P1R2/8/4r3/8 w - - 7 46	0
8/p7/2k2r2/2p2P2/Pp5r/1P6/2P4R/1K5R b - - 0 33	0
8/8/5k1p/5p2/R4PPK/5r1P/8/8 w - - 32 60	3
8/8/8/2b1k3/6p1/8/4K3/5R2 b - - 2 80	-23
8/8/3p4/3k4/7p/2Q4P/1r1r2P1/7K b - - 6 48	0
rr4k1/4p1b1/3p2p1/3P1b2/p3pPP1/Q3P1K1/Pq1NB3/2R2R2 w - - 3 24	0
6k1/p3qp1p/2p1b1p1/2p5/2P1P3/QB5P/P4PP1/6K1 w - - 2 29	0
8/4k3/p5B1/1P2P3/1Rpn2P1/2R5/b6r/4K3 b - - 0 42	-5
r2q1rk1/pb2ppbp/1pn2np1/3p4/1P1P4/P3PNP1/3N1PBP/R1BQ1RK1 b - - 2 7	0
8/4b1k1/1p6/2r3PR/6K1/6P1/8/3B4 w - - 5 43	3
r1bq1rk1/ppp1b1pp/2nppn2/5p2/P1NP4/5NP1/1PP1PPBP/R1BQK2R w KQ - 3 4	9
1K6/P7/1Q6/3q3p/8/8/7k/8 b - - 22 100	0
8/p2k4/1p2N3/2p1K3/2Pp4/1P1P4/P1n5/8 w - - 2 47	0
4r1r1/1kp5/2n5/Pp2p1Np/3pR2P/b2P2P1/2PB2K1/5R2 w - - 0 28	94
8/8/4N3/4N3/3P3k/1P1K4/p6r/1n4R1 b - - 12 51	-385
r4rk1/p2nnp2/1p2p1p1/P2pP1Pp/1B1N1P2/7P/P1P1K3/RR6 b - - 2 17	0
r1bqk2r/1pppppb1/p1n2npp/8/5P2/NP2PN2/PBPP2PP/R2QKB1R w KQkq - 0 3	-5
8/6R1/2n4p/8/6pk/P1rN4/4P2K/8 b - - 6 34	3
7k/p5pp/3q4/8/5Q2/P4PK1/1B2r3/1RR4r b - - 6 36	0
K7/1p3k2/5p2/1P3P2/8/4B3/6b1/8 w - - 17 97	0
rr4k1/5ppp/5n2/p2b4/1n1N4/B3P2P/3K1PP1/RB5R w - - 2 21	24
r1b2r2/1p2pp1k/4qbp1/3pB2p/p2P3P/2PB4/P4PP1/1RQ1R1K1 b - - 7 17	0
1r1q1rk1/1p2ppbp/p2p4/2nPnp2/P1P5/1QN3P1/3BPPBP/2R2RK1 w - - 4 16	81
r3k2r/1ppbqpp1/2n2n1p/p1p1p3/4P3/1PPP1N2/P2NBPPP/R2Q1RK1 w kq - 5 7	-4
r3k2r/1pqn1pp1/2p3p1/p2p2Pn/3P4/PQP1P2P/4BP2/R1B2K1R b kq - 0 13	0
rnbqk2r/pp4pp/2pb1n2/3p1p2/2PPpN2/4P1P1/PP3P1P/RNBQKB1R w KQkq - 2 4	-41
8/8/p6b/4k2p/P2p4/3P1K1P/5B2/8 w - - 12 46	0
rn1qnrk1/1p1bb1pp/4p3/1Np1Pp2/p1Pp1P2/P2P1NP1/1P1B2BP/1R1Q1RK1 b - c3 0 10	1
r2qr1k1/1b1n1ppp/2p1p3/p1B5/1p1P1P2/5NP1/PPQ1P2P/R3K2R b KQ - 0 11	-40
8/3n1pk1/6p1/8/1Q2p2p/2N1P2P/3q1PP1/6K1 w - - 3 61	0
8/8/p5k1/P3Bp1p/2b5/5PK1/6P1/8 w - - 0 87	0
q5k1/5p2/2pQ2pp/8/8/4P1P1/4KP1P/8 b - - 1 27	0
8/8/8/6pk/8/R5K1/1r6/8 w - - 24 91	0
